#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_r                6084.475079239146    All      1.2678554291442934         -0.06374904826103034       -1.0536606130386539        -0.48076742064873595      
Zeropoint     AB|PS|PS_g                4791.181364550074    All      -1.1323438569334208        1.2278989966386433         0.20387352223188993        0.7779066860318675        
Zeropoint     AB|PS|PS_z                8469.488257763882    All      0.28256871082561447        -0.05981537653347857       0.04673839643961619        -0.10944004138334386      
Zeropoint     AB|PS|PS_i                7369.617076499335    All      0.5810270514539253         -0.10436375210698401       0.8168143603952904         -0.1868036599956855       
Check         All|All|All               All                  All      0.999107334490412          0.9999708197371504         0.013765666028142665       0.0008955640041022339     
Lambda        AB|PS|PS_r                6084.475079239146    All      -0.00022130592531577887    2.0346030276146537e-05     -0.0004950990740414562     5.661999428281626e-05     
Lambda        AB|PS|PS_g                4791.181364550074    All      -0.0002553930950735914     -0.00013370864729228356    -0.0017108364506813222     -3.671014526450597e-05    
Lambda        AB|PS|PS_z                8469.488257763882    All      0.00043854732161164906     -9.309536280518148e-05     6.806277620720523e-05      -0.0001701361837382552    
Lambda        AB|PS|PS_i                7369.617076499335    All      -9.45294645806635e-05      9.645451387286002e-06      -0.00035051838294957854    1.8291171825360667e-05    
MWEBV         All|All|All               All                  All      -0.7122229014113666        -4.050080700566383         0.14066003422997797        -1.080973086145117        
Redshift      All|All|All               All                  All      4.391690553531251          1.6144213141561892         11.369945348684707         -0.39725952006685883      
