#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V             5324.39685688838     All      -0.1922891378857457        0.11804492316791482        -0.8420213240549534        0.0635104689440169        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B             4405.043874549059    All      -1.3570724599230275        0.6561193091979334         -0.24682691130228918       0.6447480398281913        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I             8134.803717700468    All      0.09272822198248969        -0.039583957176958506      0.0036398830983941366      -0.042935998428328404     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V             5327.493235139016    All      0.7599552306803398         0.4300181107318224         1.595458232941338          -0.03627340131451273      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R             6298.935988243059    All      -0.8669467398449076        -0.07944678538400751       -2.270108412407179         0.1552101309319598        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7549.841784106936    All      0.649098896490241          -0.10686226583196401       0.7443930367640572         -0.21302257859463491      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R             6297.716034876165    All      2.805037639523601          -0.43262880241137225       2.9800709010019633         -0.9216275988591871       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4337.262496813398    All      -0.09031270456631572       0.034536387046912864       0.05133599732962679        0.042958346334653896      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6201.151210065692    All      -0.9414256380338506        0.059087452900641324       -1.0383752052324446        0.2795621132956505        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B             4372.238858735843    All      -0.06366262665564051       0.09376713390700786        0.06066552015520088        0.053987275838407456      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5369.428446966921    All      0.21532297870012548        0.24435749950662           -0.9170763194378928        -0.03146740552328886      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I             7803.013267312522    All      -0.1806429652713235        0.03511571962988569        -0.15753078188529557       0.06324982663938883       
Check         All|All|All                                All                  All      0.8297906951959859         1.012524725284436          -0.036375383029474406      0.057899219092316656      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_V             5324.39685688838     All      -0.00038956382087783966    8.136760455415246e-05      -0.001290607968760988      9.580395234909993e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B             4405.043874549059    All      -0.00027325268818976427    0.00022394921410113215     0.00028379895174026037     0.00017461966080759353    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_I             8134.803717700468    All      -5.166873833973045e-05     8.263647459725553e-06      -6.379471494083912e-05     1.6675084642528028e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V             5327.493235139016    All      0.00015495789771946756     0.0002558945962543186      0.0003049149185178934      4.648535582143403e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_R             6298.935988243059    All      0.0002287070525605525      -5.7620199723068745e-05    3.182903875438816e-05      -9.184582214145605e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7549.841784106936    All      -0.0001018172179438459     1.7415422244742814e-05     -0.00011303691997318522    3.379367496816363e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R             6297.716034876165    All      -0.00038779797749707124    4.28956146373185e-05       -0.0005430535503325617     0.00011605708655987909    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4337.262496813398    All      -0.00016975410049476845    4.6883488029010993e-05     -0.00011982106586285889    6.521892589595042e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6201.151210065692    All      1.0691833689891288e-05     -1.3083701015204312e-05    2.2709711318697577e-05     -6.731043731086004e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B             4372.238858735843    All      0.000272820964390065       -2.9624238302382398e-05    0.0004357986179571034      -7.906866189977988e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5369.428446966921    All      -0.00018981728476025124    0.00014378501150218322     -0.001049245167424282      6.18422502688299e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I             7803.013267312522    All      2.4161158787372825e-05     -3.7395004721615114e-06    3.0337031996690387e-05     -7.734360220191452e-06    
MWEBV         All|All|All                                All                  All      -0.8148292555828616        -4.06518604926438          0.09752511405998754        -1.0543960433404886       
Redshift      All|All|All                                All                  All      6.779502736330621          -2.9109900760629692        3.447073010796714          -3.002685280102424        
