#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_i            6046.564850377094     All      1.2583205988818167         0.060716831826823636       -0.3982426807531414       -0.40787068870298815       
Zeropoint     AB|SDSS|SDSS_z            7188.861573599272     All      0.12392274737578635        0.01294805409841615        0.2673576183365334        -0.02421716598217105       
Zeropoint     AB|SDSS|SDSS_g            3815.8221652468474    All      -0.9848152981469096        0.48969330424206703        -0.37642852778341507      0.463497685368941          
Zeropoint     AB|SDSS|SDSS_r            4986.138855308145     All      0.5989471721189823         0.43565907963145634        0.5085444867938632        -0.030494298956601495      
Check         All|All|All               All                   All      0.9963752202296758         0.9990172697987632         0.001230896593840125      0.0009155317271802854      
Lambda        AB|SDSS|SDSS_i            6046.564850377094     All      -0.00012717364160370507    -4.5931449118684955e-05    -0.0007669674720559202    -7.762980842554058e-06     
Lambda        AB|SDSS|SDSS_z            7188.861573599272     All      -1.9468776371277316e-05    1.0556657368950637e-06     7.060594555284463e-06     7.000567935585132e-06      
Lambda        AB|SDSS|SDSS_g            3815.8221652468474    All      -0.0015779654364168187     0.0007336143587921192      -0.000886430254947792     0.0007134002769645246      
Lambda        AB|SDSS|SDSS_r            4986.138855308145     All      -0.00023641178083535174    -3.223402805234994e-05     -0.0017675295592354586    -1.2369314929073631e-05    
MWEBV         All|All|All               All                   All      -0.5453194959081933        -3.0859733563406877        0.036450337444160485      -0.8259479362223598        
Redshift      All|All|All               All                   All      5.368418374309201          0.07072906729685968        8.42818360369279          -1.349520571109586         
