#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_i            6046.564850377094     All      1.2369752304537032         0.07423121486347384        -0.2570277087799899        -0.3902139451769016       
Zeropoint     AB|SDSS|SDSS_z            7188.861573599272     All      0.09672435642168391        0.005718388069730906       0.11488605444069351        -0.02451680094253355      
Zeropoint     AB|SDSS|SDSS_g            3815.8221652468474    All      -1.0718546064164065        0.49173117859631077        -0.32915766118747125       0.494622535970695         
Zeropoint     AB|SDSS|SDSS_r            4986.138855308145     All      0.7358036225548059         0.4272526251448028         0.4742416454350905         -0.07934198436006377      
Check         All|All|All               All                   All      0.9976486030137866         0.9989334066743183         0.002942329908322827       0.0005498054911960565     
Lambda        AB|SDSS|SDSS_i            6046.564850377094     All      -0.00022106613646398512    -3.4267600305565154e-05    -0.00047280387068275045    3.974736347716063e-05     
Lambda        AB|SDSS|SDSS_z            7188.861573599272     All      -3.3031580382205094e-05    -2.8840262830166776e-06    -5.871906248142419e-05     7.199688123528764e-06     
Lambda        AB|SDSS|SDSS_g            3815.8221652468474    All      -0.0015176423607334024     0.0005298310541923745      -0.0015480614278329547     0.0005978465795806717     
Lambda        AB|SDSS|SDSS_r            4986.138855308145     All      -0.00021500915020813163    -8.800435039469781e-05     -0.0015779690615409158     -2.904787023376928e-05    
MWEBV         All|All|All               All                   All      -0.553261947183262         -3.0748825266252666        0.08539261868324097        -0.8175641011994791       
Redshift      All|All|All               All                   All      5.6523537563035315         0.7934756441571267         9.027644846762447          -1.1798341264299512       
