#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|DECam|DECam_r          4788.351421558559     All      0.19700170559471641        0.6761803251649212        0.7039289320952546        0.18749735611311227       
Zeropoint     AB|DECam|DECam_g          3602.7718395047173    All      -0.6544677703509656        0.2762882842205272        -0.10135604605390203      0.2986548131146932        
Zeropoint     AB|DECam|DECam_i          5817.248900614126     All      0.7879546374916819         0.04361327961017736       -0.9406057490106701       -0.2844313828977089       
Zeropoint     AB|DECam|DECam_z          6816.960143032988     All      0.6618275145583375         0.00339429474323083       0.3385876919434816        -0.19936374788887615      
Check         All|All|All               All                   All      0.9923160872937704         0.9994761837388566        0.0005548289741641454     0.0023570384412203993     
Lambda        AB|DECam|DECam_r          4788.351421558559     All      -0.00016237917564148927    -7.929953185919605e-05    -0.001334196101589067     -3.247727105387914e-05    
Lambda        AB|DECam|DECam_g          3602.7718395047173    All      -0.0009675820669967637     0.0003499618812321278     -0.0007221403172791718    0.00039694160415688765    
Lambda        AB|DECam|DECam_i          5817.248900614126     All      -0.00024997247050801525    -5.600748038601848e-06    0.000448757901535478      9.962591367419346e-05     
Lambda        AB|DECam|DECam_z          6816.960143032988     All      -0.0005333358007003808     -1.2739579902201e-05      -0.000462305390204916     0.00014894474994791735    
MWEBV         All|All|All               All                   All      -0.5105824641065491        -2.722649453654391        -0.036334141489891        -0.7221644191960773       
Redshift      All|All|All               All                   All      5.603498235278911          1.0777308413883802        10.543505481722292        -1.0036831084347158       
