#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|DECam|DECam_r          4090.7068030504706    All      -0.6779619295132399       0.396297596341455         -0.7152320159312507       0.31800414973033014       
Zeropoint     AB|DECam|DECam_z          5823.754937383498     All      1.3314373622461118        0.17756720181409946       0.2571148414415803        -0.3643796179656404       
Zeropoint     AB|DECam|DECam_i          4969.697826613257     All      0.619273852657902         0.330311275380879         0.2812095424480726        -0.08157552767480032      
Zeropoint     AB|DECam|DECam_g          3077.8616639009288    All      -0.28496499669165437      0.0962951740911322        0.18514424228767015       0.13245111790755615       
Check         All|All|All               All                   All      0.9877842886991196        1.0004712476275657        0.008236610246072334      0.004500121997445594      
Lambda        AB|DECam|DECam_r          4090.7068030504706    All      -0.0004173449282739945    0.00022969257500985078    -0.0005324052104523782    0.00018700260242731907    
Lambda        AB|DECam|DECam_z          5823.754937383498     All      -0.0003508701062173097    -3.100931246233298e-05    0.0003745762348256209     0.00012090480062738984    
Lambda        AB|DECam|DECam_i          4969.697826613257     All      -0.0002496455786860791    -8.262733338020896e-05    -0.0012101663913398589    3.991692808825658e-07     
Lambda        AB|DECam|DECam_g          3077.8616639009288    All      -0.0008257017932913329    0.00025789586191580805    0.0003717859448881243     0.0003695545047742065     
MWEBV         All|All|All               All                   All      -0.3600738931023715       -2.132413688583412        0.19300743205616847       -0.5686963443939237       
Redshift      All|All|All               All                   All      3.8855891432891774        0.016343137959751175      3.079882370966016         -1.122899713520222        
