#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B    4409.297991918344     All      -0.9175234213585841       0.6758403223213527        0.816428259120636          0.5554444349118776        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V    5332.6381967221005    All      -0.11030094260830159      0.8052753192385076        -1.8161909141464088        0.21718505101262253       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R    6303.797977288949     All      1.4452815810178323        -0.23881975729436178      0.1935239772206936         -0.5399311248967293       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I    7810.548932159138     All      0.6015124239113078        -0.2628829570840985       0.8692463160037484         -0.24277154257423217      
Check         All|All|All                       All                   All      1.0189696409622544        0.9794129271814           0.06300763819866917        -0.010073181546461418     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B    4409.297991918344     All      -0.0009176037655798501    0.0007182179173223747     0.0002404104021635157      0.0005435693511396177     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V    5332.6381967221005    All      -0.0008763570446284748    0.0011224629244828436     -0.00504320350240563       0.0004260264134468232     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R    6303.797977288949     All      -9.184673737233691e-05    -0.0001899185821003063    -0.00018729448843622217    -4.030331910219278e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I    7810.548932159138     All      -0.0001291215935315666    7.967201844867058e-05     -0.00016635744721793874    6.0587179710547104e-05    
MWEBV         All|All|All                       All                   All      -0.7740533634369897       -4.127753572696324        0.2094159177248707         -1.0830652210198786       
Redshift      All|All|All                       All                   All      8.244379450460038         -4.520921129032551        13.29591014128304          -3.5647429609566164       
