#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B    4409.297991918344     All      -1.0813008409419935        0.8809057656350205         -0.5084563816620813       0.6164651733841398         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V    5332.6381967221005    All      -0.24323642228828668       0.710429267438073          0.6980982948709524        0.34179321046373945        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R    6303.797977288949     All      1.3957684867803914         -0.15837655801278494       0.14438815490540602       -0.49979279073978367       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I    7810.548932159138     All      0.8304607557733159         -0.38302468005482204       -0.4184121321336276       -0.413943940693956         
Check         All|All|All                       All                   All      0.9016919793234273         1.0499337950054866         -0.08438206401935044      0.04452165241413952        
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B    4409.297991918344     All      -0.0009504341963110171     0.0007045747148251403      -0.0012882358504049442    0.000481602801182632       
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V    5332.6381967221005    All      0.00015095588049373395     0.00019269740660659657     -0.0003320853796576254    -1.2228569707596394e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R    6303.797977288949     All      -0.00021356615225123034    -3.0594642001293767e-05    -6.953760367383875e-05    5.649669659499045e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I    7810.548932159138     All      -0.00027847680950099336    0.00016355673811915773     0.0002738668553197874     0.00015620628885959674     
MWEBV         All|All|All                       All                   All      -0.8074676269335441        -4.100549472520054         -0.06770456660798452      -1.0756864401341382        
Redshift      All|All|All                       All                   All      6.987898123508403          -2.090808128544186         7.110289728088448         -2.639933732672467         
