#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                    dmB/dP                   ds/dP                     dc/dP                    
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4319.0189009337255    All      -2.052994576861275        0.6675834824711124       -1.4910746786685802       0.8196419636334829       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5403.3198727890485    All      3.086352415229734         0.2740975652059774       1.3491914451594589        -0.8558357075038797      
Check         All|All|All                           All                   All      1.0333578383684585        0.9416810476770898       -0.14188323350912135      -0.036193743870396866    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4319.0189009337255    All      -0.0024510293327469983    0.0011205153878733499    -0.0011383470759385973    0.0011125704140771207    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5403.3198727890485    All      0.0025763117501876815     -0.001767924504681788    -0.0038754618844276992    -0.001588004733887969    
MWEBV         All|All|All                           All                   All      -0.9138848197953902       -4.050052871179144       -0.04342952358113994      -1.023491171372759       
Redshift      All|All|All                           All                   All      -3.0428456557036245       5.215583747526864        15.477980391735334        3.3807533279798796       
