#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                   dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4319.0189009337255    All      -2.1540676679595374      0.8664383812744703        -0.5990455546129534       0.9571455401472421        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5403.3198727890485    All      3.1536907120485558       0.13433139135390348       0.5971115727284318        -0.9568583176647744       
Check         All|All|All                           All                   All      0.9996230440890184       1.0007697726283737        -0.0019339818845215406    0.0002872224824677083     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4319.0189009337255    All      -0.001337944649228922    0.0002852850952406784     -0.0017846420399763496    0.0004490989527663975     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5403.3198727890485    All      0.001052832515454012     -0.0008107937005368654    -0.003866187440077125     -0.0007795745587235972    
MWEBV         All|All|All                           All                   All      -0.9400157440714616      -4.018323676465485        0.02275060031417953       -1.0016909121012967       
Redshift      All|All|All                           All                   All      -0.24193527757975453     2.6607859385501698        12.160496787100785        1.4881789172517041        
