#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4256.100706974786    All      -2.799891557926118         0.728545830102334         -1.063145026962986        1.1018848597180857         
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5096.684804838345    All      3.794479828844707          0.27253676954774875       1.0506106966083006        -1.1003287927888017        
Check         All|All|All                            All                  All      0.9945882709185889         1.0010825996500827        -0.01253433035468543      0.0015560669292840057      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4256.100706974786    All      -0.00031897735737112273    2.6916697527266047e-05    -0.0007271932603449301    8.02177779254506e-05       
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5096.684804838345    All      0.00046992465863744236     1.548809407970406e-05     5.066711280442144e-06     -0.00014779883554147158    
MWEBV         All|All|All                            All                  All      -0.04545935341198826       -2.245328086913112        -0.002026632716289889     -0.71666005934308          
Redshift      All|All|All                            All                  All      4.072554150133636          0.7989629972684043        -4.294656056517199        -1.257967111598726         
