#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5438.672302849609    All      0.29444439319473736        0.36568797659279895       0.2750674909924706         0.035481377740726405       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4347.277049113038    All      -0.5955822344182109        0.558679795710626         0.8424825446933898         0.4135772438931047         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i         7489.440436915097    All      0.20643651986655182        -0.055482457422684206     0.014989171509072384       -0.08464672989983489       
Zeropoint     AB|CNIa02|SDSS_r                      6132.24616868523     All      0.6958258174726736         -0.041962895621328045     0.19916617018288793        -0.23143418494428208       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g         4681.987565388948    All      -0.3225889664464683        0.22070438609018694       -0.39960136092229953       0.15913614530628672        
Zeropoint     AB|CNIa02|SDSS_i                      7436.420287003865    All      0.2842831488697444         -0.05241212982944887      0.27168877819812837        -0.09754850686842009       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r         6171.887739807441    All      0.5794039626959364         -0.08721092805750175      -0.22062897579751356       -0.22698405877449435       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B         4348.46095264435     All      -0.21220527256697846       0.06936795746845803       -0.597681483121803         0.06504588496669364        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V         5449.423979976928    All      0.06707616455151127        0.019346023002464463      -0.3848601352112314        -0.032721817613350336      
Check         All|All|All                           All                  All      0.9970935332194972         0.9967177279335715        0.0006222005231015793      -9.46461935703094e-05      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5438.672302849609    All      3.512466668048039e-06      -5.185332520665048e-05    -0.0005731565639275379     -4.3611804929241444e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4347.277049113038    All      -8.950464930188848e-05     -9.572443825845214e-06    -0.0004048106424596859     7.971709270054168e-06      
Lambda        Linear_AB11_off|LCOGT|LCOGT_i         7489.440436915097    All      -2.692992570369547e-05     -7.034115453350592e-06    -0.0001659593000187968     -9.252813850912989e-07     
Lambda        AB|CNIa02|SDSS_r                      6132.24616868523     All      -0.00011741538666581875    6.940836452007207e-06     -4.209712116844493e-05     3.862831189503225e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_g         4681.987565388948    All      -0.00014181553285486448    4.506813018924271e-05     -0.0005650861043993211     3.5656959850618955e-05     
Lambda        AB|CNIa02|SDSS_i                      7436.420287003865    All      -8.061538359484526e-05     2.0303241577063043e-05    -5.285936341052264e-05     3.0513645727904463e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_r         6171.887739807441    All      -0.00012500524323653473    -5.378804876631129e-07    -0.00020837823321023232    3.124415140034846e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_B         4348.46095264435     All      -0.00017663434320295263    5.714377869250079e-05     -0.0005082219857266003     5.346961232928638e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_V         5449.423979976928    All      2.4237629288292128e-05     3.941631889226559e-06     -0.00018165110722140714    -1.4717328693289366e-05    
MWEBV         All|All|All                           All                  All      -0.8871407761357468        -4.071099085880592        0.06154988794371967        -1.034373281790409         
Redshift      All|All|All                           All                  All      6.43011438742277           -0.8080198213310297       2.450606930323915          -2.248339107263656         
