#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5438.672302849609    All      0.32361632228340487        0.3468225713607609         0.08441103357212931        0.011325915529881991       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4347.277049113038    All      -0.5771004136665623        0.5864362772789455         1.1526721303200427         0.4304406426056527         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i         7489.440436915097    All      0.20377908433825398        -0.04491280863154756       0.13459061146299245        -0.07500097042324808       
Zeropoint     AB|CNIa02|SDSS_r                      6132.24616868523     All      0.6880050467260008         -0.03418198425260144       0.2936517063605981         -0.22213574827596103       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g         4681.987565388948    All      -0.377607710445286         0.21665903232905848        -0.6860439861268386        0.16295723670194384        
Zeropoint     AB|CNIa02|SDSS_i                      7436.420287003865    All      0.29148514453234475        -0.04079159204621874       0.48761558917940206        -0.08647342047589102       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r         6171.887739807441    All      0.6001517161602863         -0.10048187863977986       -0.34140116819580957       -0.24345457812472054       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B         4348.46095264435     All      -0.19716861137964103       0.05682517088301253        -0.5494158780656289        0.058216223767968214       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V         5449.423979976928    All      0.04350913870657233        0.008990600405400784       -0.5833647015332399        -0.03727671088313532       
Check         All|All|All                           All                  All      0.9986697172553738         0.9953653886870306         -0.007284663026352334      -0.001401409577509255      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5438.672302849609    All      1.1929969559811398e-05     -3.267247851734112e-05     -0.0005024599237982148     -3.6950963399839725e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4347.277049113038    All      -6.820192985092287e-05     -6.731897719233695e-06     -0.00029206872345931913    6.989126064417736e-06      
Lambda        Linear_AB11_off|LCOGT|LCOGT_i         7489.440436915097    All      -4.7110131581812525e-05    -1.716495863964753e-06     -0.00022452700844427127    4.766591387942218e-06      
Lambda        AB|CNIa02|SDSS_r                      6132.24616868523     All      -0.00015015533940021305    2.593773229493928e-06      7.909258637381969e-05      5.328495015078837e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_g         4681.987565388948    All      -0.0001343166426580562     2.7728921859762737e-05     -0.0005901510262491815     2.6447841668300034e-05     
Lambda        AB|CNIa02|SDSS_i                      7436.420287003865    All      -0.00010444503592545142    2.617609975255155e-05      -8.289307515677488e-05     3.884846396792339e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_r         6171.887739807441    All      -0.00019349305570046248    1.6258587965517524e-05     -0.00038389924928290415    5.1191350656098415e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B         4348.46095264435     All      -0.00013954396296140764    3.9990911270830796e-05     -0.00038860523601263276    4.1138748175409686e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V         5449.423979976928    All      4.022734585105563e-06      -1.5232497095983344e-06    -0.00018021458190344589    -9.848658636962862e-06     
MWEBV         All|All|All                           All                  All      -0.88848191172637          -4.065927115239543         0.12054175922324717        -1.0296192125405823        
Redshift      All|All|All                           All                  All      6.084110500092103          -0.7748949713543674        0.4982125094645795         -2.2119708005374017        
