#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R             6363.229993322179     All      0.3373133311775619         -0.048148636590017446     -0.12820284591042932       -0.13127874842257595       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I             7868.054267598885     All      0.1060956997760713         -0.01786676864874437      0.022790676047562457       -0.039361611011823984      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6202.5279821845       All      0.4501313001797552         -0.051777409182562906     0.15934173046843617        -0.1563774893446718        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V             5363.425743529782     All      0.12271843756339958        0.10538132336073147       -0.25139076761842044       -0.016865683832700887      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u              3559.462255046453     All      -0.1365292278632701        0.07838563418962607       -0.019538040042306207      0.06913294806745936        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B              4355.552050304088     All      -0.3218762424828724        0.1827023393261129        -0.06887603188690182       0.1612842232705146         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4352.46730332945      All      -0.17846857604889851       0.12958519447519024       0.15508055869006765        0.10726378080281045        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5382.6705032097925    All      0.22381972584521603        0.17270821151864624       0.045743634437187056       -0.014607373423021226      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B             4351.409910420827     All      -0.280797715935989         0.14102430811515632       -0.23131609062905067       0.12707873603744801        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844      5320.657303340542     All      0.17603370194253548        0.1658484862455012        0.11876045342511568        0.001982073753161749       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7556.681557125889     All      0.14425913596206155        -0.054238294012876054     0.03355916410236192        -0.06315955195208926       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g              4758.0325947931315    All      -0.19973351230557984       0.27808942487208554       0.05847141967607692        0.15825196145709705        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r              6159.050387280887     All      0.4297360872190992         -0.04178120686511022      0.07282258353223704        -0.15033895770042116       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i              7530.382186602908     All      0.12255795756622448        -0.043117030174677495     0.032525217886545194       -0.0525143429610571        
Check         All|All|All                                All                   All      0.9952601025953147         0.9967955766290615        -0.0002283378215183901     0.0004899647401298696      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R             6363.229993322179     All      -7.1510749988839e-05       7.802144828090897e-06     -0.0001315326104251105     1.996512286276539e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I             7868.054267598885     All      -8.065200279988198e-06     4.7748567654778574e-06    1.7393209710664467e-05     4.9586080703019834e-06     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6202.5279821845       All      -0.0001274283477884945     4.890610458570179e-05     -0.00019263173906771398    4.8841662580429794e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V             5363.425743529782     All      2.9897700984291638e-05     4.648960537097634e-05     -0.0005029712198982234     -1.7040766364616257e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_u              3559.462255046453     All      -0.00030961826410695717    0.0001750953368913927     -8.962991263783e-05        0.00015388739510324663     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B              4355.552050304088     All      -0.0002137070002769931     8.301846072626901e-05     -0.00028937323385253087    8.37398462428226e-05       
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4352.46730332945      All      -6.174579464550918e-05     3.8512944572880145e-05    4.901741344054289e-05      3.4844991810991436e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5382.6705032097925    All      2.1605644381891234e-05     0.00011052908234083367    -0.0006015338936863396     2.1215943074638144e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B             4351.409910420827     All      -0.00022118340368098817    9.420674490204333e-05     -0.0003171850033827249     8.857843749824045e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844      5320.657303340542     All      3.183928379022521e-05      8.979954111796813e-05     -0.00041815255828253487    2.1933447655883775e-07     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7556.681557125889     All      -4.560335897784806e-05     1.6302661147702856e-05    -9.840063781265048e-05     1.5773658874663778e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g              4758.0325947931315    All      -0.00012303259563143127    6.781920180244893e-05     -0.00035239900082123337    4.6440760365267503e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r              6159.050387280887     All      -7.721578758218676e-05     3.614247674412535e-05     -0.00017611687744249085    2.906522870250517e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_i              7530.382186602908     All      -2.4451264670564992e-05    3.379000520935018e-06     -6.766891981761318e-05     6.0454798620478844e-06     
MWEBV         All|All|All                                All                   All      -0.9469916221508545        -4.023432295509544        -0.0008546692665232265     -1.0021360791687959        
Redshift      All|All|All                                All                   All      6.975756832816748          -2.3190535510050125       6.848546871378211          -2.7220063395579626        
