#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_i            5440.059490170082    All      0.5731679840128235         0.1606637620698237        -0.5956298785251946       -0.16094642192213404       
Zeropoint     AB|SDSS|SDSS_z            6467.777257782786    All      0.05668963363283766        -0.0002701353972511811    -0.06183515681046359      -0.021313089743688063      
Zeropoint     AB|SDSS|SDSS_r            4486.000344052081    All      1.3703327612492817         0.7111134969646216        1.2224885102331662        -0.16017535452205744       
Zeropoint     AB|SDSS|SDSS_g            3433.073174028369    All      -1.0025005378621334        0.13099547726405092       -0.540439099328216        0.34509962818183026        
Check         All|All|All               All                  All      0.9976898410328093         1.002502600901245         0.02458437556929205       0.002664761993950715       
Lambda        AB|SDSS|SDSS_i            5440.059490170082    All      -1.9672509656740446e-05    -9.191922430136618e-06    -3.841938974310892e-06    3.242423969746982e-06      
Lambda        AB|SDSS|SDSS_z            6467.777257782786    All      -9.822488877589048e-06     4.71229125560207e-06      0.00016954890246529403    1.2300644876526515e-05     
Lambda        AB|SDSS|SDSS_r            4486.000344052081    All      -0.00046747222757840125    -0.0005826624797367191    -0.002626937495003752     -0.00015474941008919606    
Lambda        AB|SDSS|SDSS_g            3433.073174028369    All      -0.00045404471209323845    5.734364356886227e-05     0.0006331407285764128     0.00019483017442249812     
MWEBV         All|All|All               All                  All      -0.849605377851826         -2.6408585509686944       -0.37220147485967914      -0.6000797313265943        
Redshift      All|All|All               All                  All      4.768512540351969          2.5536220278096877        4.27980972058406          -0.5304744562938973        
