#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_i            5440.059490170082    All      0.7834702538267598         0.11689957587606159        -2.0824153140544186        -0.310052630611125        
Zeropoint     AB|SDSS|SDSS_z            6467.777257782786    All      0.1444015736487079         0.00795981756276376        -0.4017003344860473        -0.06236960974284451      
Zeropoint     AB|SDSS|SDSS_r            4486.000344052081    All      1.2121669979836602         0.7591356425956874         4.226380724373752          0.04103674392548248       
Zeropoint     AB|SDSS|SDSS_g            3433.073174028369    All      -1.1393682143304606        0.11554431654499098        -1.6678709615583998        0.33433687594200356       
Check         All|All|All               All                  All      1.0006706111286674         0.9995393525795038         0.07439411427488629        0.002951379513516539      
Lambda        AB|SDSS|SDSS_i            5440.059490170082    All      0.00012125012327342626     1.3352150570063183e-05     -0.00031321981966811013    -4.912348143253882e-05    
Lambda        AB|SDSS|SDSS_z            6467.777257782786    All      -4.0648286193005825e-05    -2.3766344272792395e-06    9.908736653403893e-05      1.688815015664167e-05     
Lambda        AB|SDSS|SDSS_r            4486.000344052081    All      -0.0003636672562864786     -0.000256608481488527      -0.002187731570884455      -6.27558470401364e-05     
Lambda        AB|SDSS|SDSS_g            3433.073174028369    All      -0.0018897699781783303     9.734672636688958e-05      -0.0046528711495779805     0.000439633015326722      
MWEBV         All|All|All               All                  All      -0.7314778628123777        -2.646423576549317         -0.4409976938768571        -0.6434405204553971       
Redshift      All|All|All               All                  All      6.464483652224212          1.7507173670511023         16.413132241664734         -0.8029860482296549       
