#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|MEGACAMPSF|r           4154.661815579377     All      -1.283032547530608         0.5941787520567843        0.10443861383522268        0.6161300943592241        
Zeropoint     AB|MEGACAMPSF|i           5078.742634655065     All      1.49413575883703           0.36180195305774987       -0.09388393755751512       -0.3730279821578697       
Zeropoint     AB|MEGACAMPSF|z           5855.915253450119     All      1.090831152814193          -0.018312780180629318     0.12978451291416615        -0.35549298199530344      
Zeropoint     AB|MEGACAMPSF|g           3255.1516337789944    All      -0.30320629244484854       0.061605618472171386      -0.1287881740557717        0.11308401663562839       
Check         All|All|All               All                   All      0.9987280716757667         0.9992735434060762        0.011551015136102016       0.0006931468416793152     
Lambda        AB|MEGACAMPSF|r           4154.661815579377     All      -0.000917776196964459      0.00035727365811181864    -0.00046202164717148433    0.00039470778156800796    
Lambda        AB|MEGACAMPSF|i           5078.742634655065     All      0.0002955184399590041      -1.431564962892689e-05    -0.0022289937111422274     -0.0002003929081480183    
Lambda        AB|MEGACAMPSF|z           5855.915253450119     All      -0.00013133941019182572    4.046622204338962e-07     -5.5394207732773534e-05    4.044138956119532e-05     
Lambda        AB|MEGACAMPSF|g           3255.1516337789944    All      -0.0006962137484778425     0.00017076066436978718    -2.9715328432848815e-05    0.00028107603024505847    
MWEBV         All|All|All               All                   All      -0.23333834855930036       -2.3453321748858613       -0.017668554125216396      -0.6887343381894839       
Redshift      All|All|All               All                   All      5.911831224714415          -0.3291954547851361       1.8694924769091736         -1.9494808502159593       
