#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|MEGACAMPSF|r           4154.661815579377     All      -1.0062825127980526       0.5095426564048822        -0.1429022624237088       0.487377055130582          
Zeropoint     AB|MEGACAMPSF|i           5078.742634655065     All      1.3473776627002296        0.3949950801811042        0.09418087943993095       -0.30601947949050645       
Zeropoint     AB|MEGACAMPSF|z           5855.915253450119     All      0.9747652911204501        0.0154267903951677        0.06012638594957984       -0.3098049465310065        
Zeropoint     AB|MEGACAMPSF|g           3255.1516337789944    All      -0.3289405156654839       0.08048848771196049       -0.00906697749664179      0.13295987865159756        
Check         All|All|All               All                   All      0.986919925357143         1.0004530146931145        0.0023380254691602077     0.004512507760666612       
Lambda        AB|MEGACAMPSF|r           4154.661815579377     All      -0.0006165016199298505    0.0002479331911836143     -0.000478389567440065     0.00026022652780917783     
Lambda        AB|MEGACAMPSF|i           5078.742634655065     All      0.00020327956609026603    -6.072971332085415e-05    -0.0019306816703046274    -0.00017215396359702092    
Lambda        AB|MEGACAMPSF|z           5855.915253450119     All      -0.0001783405196016162    5.134786298660175e-07     8.106181633280936e-07     5.829480551135446e-05      
Lambda        AB|MEGACAMPSF|g           3255.1516337789944    All      -0.0008461759864426795    0.0001918538950676557     -0.0001654794093995485    0.0003307358965545919      
MWEBV         All|All|All               All                   All      -0.3212526904417612       -2.3206360322785002       0.020283513199301134      -0.6503597721590993        
Redshift      All|All|All               All                   All      6.21676585749066          0.22001108390981017       3.336886951349889         -1.8044303782559987        
