#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    4615.92113401158      All      3.893514599170353         0.7528272146155146         0.42889737853828636       -1.003885486545633        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    3854.6282444534377    All      -2.9049678052686816       0.24868014109156178        -0.42503526683323634      1.0082795162228306        
Check         All|All|All                            All                   All      0.9885467939016718        1.0015073557070764         0.0038621117050500198     0.004394029677197597      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    4615.92113401158      All      -0.0006105782866148667    -0.00014287273442288107    -0.0008938254981024265    0.00011245975861627137    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    3854.6282444534377    All      -0.0022160009898226835    0.00012230523001401645     -0.0016532483160253833    0.0006878863845411148     
MWEBV         All|All|All                            All                   All      -0.16148319248191623      -1.8993889760846372        0.0379454790632347        -0.564399756668097        
Redshift      All|All|All                            All                   All      10.043959564028734        0.9098588745233727         0.5916679399240385        -2.9488736748324977       
