#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                    
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    4615.92113401158      All      4.0026852782860765        0.7643230155457204         0.33920606179689283       -1.039703919307551       
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    3854.6282444534377    All      -3.0165892534921577       0.23740949429775782        -0.32889155900646116      1.0452575258000099       
Check         All|All|All                            All                   All      0.9860960247939188        1.0017325098434782         0.010314502790431668      0.00555360649245884      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    4615.92113401158      All      -0.000357267707936801     -0.00010805630558520857    -0.0011475893289914323    2.996471149178053e-05    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    3854.6282444534377    All      -0.0029312888825078435    0.0001953367638055385      -0.001428394292582573     0.0009547021590324331    
MWEBV         All|All|All                            All                   All      -0.15159416710932594      -1.9004250272972811        0.031118932358120688      -0.5682630509625058      
Redshift      All|All|All                            All                   All      10.821290478459764        0.6450523099530869         -1.1760873716305298       -3.367218937596111       
