#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|WFC3|WFC3_f125w        4315.766937513626     All      -2.280985762521968         0.7957979786237246         -0.8790373273436048        0.9629822890226772        
Zeropoint     AB|WFC3|WFC3_f160w        5297.287412348981     All      3.3003266303253325         0.1829893777529179         0.7668400384569187         -0.9811987515647611       
Zeropoint     AB|ACSWF|F850LP           3116.0935912623513    All      -0.02746829201620466       0.029485662661699052       0.15156306952673107        0.025315340457024715      
Check         All|All|All               All                   All      0.9918725757871594         1.0082730190383415         0.03936578064004495        0.007098877914940849      
Lambda        AB|WFC3|WFC3_f125w        4315.766937513626     All      -0.001007563045498215      -0.00013616936793795927    -0.002925118959172856      0.00015330696421940533    
Lambda        AB|WFC3|WFC3_f160w        5297.287412348981     All      0.0011873907294959014      -4.2280034114281375e-05    -0.00026671227413388617    -0.0004124463665037541    
Lambda        AB|ACSWF|F850LP           3116.0935912623513    All      -0.00011941710347339215    0.00012453402937967522     0.0006389455913841015      0.00010797611689664147    
MWEBV         All|All|All               All                   All      -0.028634817998395068      -0.7868077429005638        0.024352773789524565       -0.245875112342998        
Redshift      All|All|All               All                   All      -0.45302812917279317       0.15035413684572063        -0.8911222117810323        0.15677476319365224       
