#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                   dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5917.145192560839    All      3.210218617531619        -0.6004276218778415       0.37069021177401673       -1.2247106450802672       
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4941.24451514506     All      -2.2121631857540045      1.603868581151957         -0.3661069794635405       1.2266694171724615        
Check         All|All|All                            All                  All      0.9980554317776144       1.0034409592741156        0.0045832323104762485     0.0019587720921943053     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5917.145192560839    All      -0.000501146427800776    0.00012216432605336835    0.0001681384789004315     0.00021053606692622264    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4941.24451514506     All      -0.000477278644506534    2.6172274307779724e-05    -0.0017006046603517053    8.81003519042769e-05      
MWEBV         All|All|All                            All                  All      -0.41347207994131185     -2.7780413422988204       -0.015527024284644163     -0.7709109005486986       
Redshift      All|All|All                            All                  All      1.2854494353038528       1.2854697924129965        2.5395805805559757        0.11333644841866851       
