#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|DECam|DECam_i          5905.62768204644      All      0.798960352428304          0.05882134301629094       -0.6336926557311218       -0.26936641799582306       
Zeropoint     AB|DECam|DECam_g          3657.5070915790216    All      -0.6442927035391779        0.3547315602734358        -0.02279836324199369      0.32439768340340736        
Zeropoint     AB|DECam|DECam_r          4861.098637800649     All      0.13201641250619384        0.5572604806019399        0.11311768918007559       0.14356390603042882        
Zeropoint     AB|DECam|DECam_z          6920.527076613964     All      0.7079040309050146         0.028276556345119275      0.5475042398424224        -0.19694442791579267       
Check         All|All|All               All                   All      0.9945880923003345         0.9990899402367859        0.004130910049382486      0.0016507435222204436      
Lambda        AB|DECam|DECam_i          5905.62768204644      All      -0.00011958870741478334    1.689582202230489e-05     0.00031695755879539324    5.8601861560930655e-05     
Lambda        AB|DECam|DECam_g          3657.5070915790216    All      -0.0011880213167100636     0.000592722875650898      -0.0004410357872078251    0.0005603655666167718      
Lambda        AB|DECam|DECam_r          4861.098637800649     All      -0.00013145979546114439    -3.045620813489378e-05    -0.001280823303575103     -2.4257070118416446e-05    
Lambda        AB|DECam|DECam_z          6920.527076613964     All      -0.0006473489021948705     -2.178509818680391e-05    -0.000555074586496222     0.00017899628197331734     
MWEBV         All|All|All               All                   All      -0.46934515959377787       -2.7866033872415485       0.034600739134194036      -0.7532631682040346        
Redshift      All|All|All               All                   All      7.534205829411206          -0.33766374421979606      5.02725437440652          -2.3397836235626417        
