#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|DECam|DECam_i          5905.62768204644      All      0.8445138441872649        0.04124905671964996        -0.6652176839663552       -0.29133537790586506       
Zeropoint     AB|DECam|DECam_g          3657.5070915790216    All      -0.6546277156714114       0.35915931347680896        -0.030473375564837098     0.32886390120385595        
Zeropoint     AB|DECam|DECam_r          4861.098637800649     All      0.06141068174804121       0.5790165391262647         0.09551410447665869       0.17286361227737           
Zeropoint     AB|DECam|DECam_z          6920.527076613964     All      0.7425227078521005        0.01994115242904826        0.6036881310985611        -0.2084287561767262        
Check         All|All|All               All                   All      0.9938195181159952        0.9993660617517719         0.0035111760440275086     0.001963379398634668       
Lambda        AB|DECam|DECam_i          5905.62768204644      All      -0.0001247594532932333    9.575903789935048e-06      0.00026438129177318027    5.5555568096447576e-05     
Lambda        AB|DECam|DECam_g          3657.5070915790216    All      -0.0012656342857448755    0.0005904091799769467      -0.0006778161476187412    0.0005743265972306368      
Lambda        AB|DECam|DECam_r          4861.098637800649     All      -0.0001674159854394475    -3.523319289015413e-05     -0.0015237433997409506    -2.4941385412122766e-05    
Lambda        AB|DECam|DECam_z          6920.527076613964     All      -0.0006036078760255249    -2.0088374582509994e-05    -0.0006452830662691489    0.00016127547927170737     
MWEBV         All|All|All               All                   All      -0.45547501859637896      -2.7901040420793777        0.07000492819436727       -0.75734148153758          
Redshift      All|All|All               All                   All      7.450079864621057         -0.27239729156480763       5.6260306517361185        -2.264400963158963         
