#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_g            3461.404859628547    All      -0.9812826358153818        0.2024414600493074         -0.49229706441060744      0.36360892444313875        
Zeropoint     AB|SDSS|SDSS_r            4523.021387562447    All      0.6412266344376365         0.5568280610379617         1.0937434060748226        0.021317352844487242       
Zeropoint     AB|SDSS|SDSS_i            5484.953976045812    All      1.1862373813182823         0.22692300048898773        -0.6821142036412219       -0.3429198784130756        
Zeropoint     AB|SDSS|SDSS_z            6521.153059145175    All      0.1480024181233019         0.01265710360307537        0.08431357106119376       -0.040323894229590554      
Check         All|All|All               All                  All      0.994183798063839          0.9988496251793322         0.003645709084186946      0.001682504644959823       
Lambda        AB|SDSS|SDSS_g            3461.404859628547    All      -0.001764406730163891      0.0002754774853336029      -0.001776885046111942     0.0005851631805147094      
Lambda        AB|SDSS|SDSS_r            4523.021387562447    All      -0.0003779584466860327     -0.0002525587146012457     -0.0023128208508500954    -6.23637539028261e-05      
Lambda        AB|SDSS|SDSS_i            5484.953976045812    All      8.582923997107634e-05      5.606017355482679e-06      -0.0006362477464089204    -5.4524157613555625e-05    
Lambda        AB|SDSS|SDSS_z            6521.153059145175    All      -4.8128546852025276e-05    -4.8216910347839716e-06    -6.511208366095094e-05    1.1200814448107825e-05     
MWEBV         All|All|All               All                  All      -0.633487020129988         -2.65386468405282          -0.0739606121139217       -0.6614039960203386        
Redshift      All|All|All               All                  All      6.333122134737403          1.0966572152710796         8.527673286188605         -1.325138006273122         
