#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_g            3461.404859628547    All      -1.0023109370875565        0.2013878391103674         -0.747684928792336        0.3587185475418156         
Zeropoint     AB|SDSS|SDSS_r            4523.021387562447    All      0.776689746645333          0.521461409573476          0.2722358137052572        -0.07098763211538656       
Zeropoint     AB|SDSS|SDSS_i            5484.953976045812    All      1.11487510535381           0.26171806720913793        0.3121689842744968        -0.26397064732868597       
Zeropoint     AB|SDSS|SDSS_z            6521.153059145175    All      0.10818522581641254        0.013449754499639255       0.17055035094257764       -0.023247580859166173      
Check         All|All|All               All                  All      0.9974391407279989         0.9980170703926206         0.007270220129995675      0.0005126872385768921      
Lambda        AB|SDSS|SDSS_g            3461.404859628547    All      -0.0017545525419006616     0.0001431612649152469      -0.0034878407967513085    0.0004625015041240975      
Lambda        AB|SDSS|SDSS_r            4523.021387562447    All      -0.0007809836974103243     -0.00036746302548545685    -0.003765217841256947     -3.332709196330103e-05     
Lambda        AB|SDSS|SDSS_i            5484.953976045812    All      6.985629660468447e-05      -6.013207140767363e-06     -0.0003840851388747419    -4.1853149111169864e-05    
Lambda        AB|SDSS|SDSS_z            6521.153059145175    All      -2.3112164751399306e-05    -1.5081431879096e-06       6.527646429560117e-05     9.95012937198276e-06       
MWEBV         All|All|All               All                  All      -0.6848246285654516        -2.6479125832223005        -0.05649810046244319      -0.641963581244366         
Redshift      All|All|All               All                  All      7.340678919885505          1.8881395922047517         16.219971121105846        -1.0522486267391704        
