#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                    
Zeropoint     AB|SDSS|SDSS_g            4259.412347522301     All      -0.5999466833734044        0.5497525992392838         -1.8179659940113544        0.2933674076329422       
Zeropoint     AB|SDSS|SDSS_i            6749.479369965461     All      1.2359075690082935         0.013591254580980205       4.659564899475026          -0.190213655765223       
Zeropoint     AB|SDSS|SDSS_z            8024.568343382558     All      0.16537785513052647        -0.004114394582188652      0.669737955554992          -0.025321872899570424    
Zeropoint     AB|SDSS|SDSS_r            5565.77861520607      All      0.2754084418699767         0.33163851624635754        -5.08311592969297          -0.20852013289627233     
Zeropoint     AB|SDSS|SDSS_u            3239.2257987253324    All      -0.07231313973213982       0.11099477319120865        1.664489342599297          0.13398793252750887      
Check         All|All|All               All                   All      1.0044340429032523         1.0018627486756415         0.09271027392499054        0.0032996785993853195    
Lambda        AB|SDSS|SDSS_g            4259.412347522301     All      -0.00014175168841404888    0.00014370344659573984     -0.00045566079789143693    7.264808003213741e-05    
Lambda        AB|SDSS|SDSS_i            6749.479369965461     All      -0.0005297836550073023     -3.9007301601892415e-05    -0.0018459270052590248     7.748676015795554e-05    
Lambda        AB|SDSS|SDSS_z            8024.568343382558     All      -3.122840060871597e-05     4.2795320278911385e-06     -0.000190096956999934      3.082947728865195e-06    
Lambda        AB|SDSS|SDSS_r            5565.77861520607      All      4.67704982279715e-05       2.345446570601291e-05      0.000498744523899565       1.466187858380515e-05    
Lambda        AB|SDSS|SDSS_u            3239.2257987253324    All      -4.517485475530252e-05     7.155390374162754e-05      0.0011299496546599917      8.844686032096058e-05    
MWEBV         All|All|All               All                   All      -0.7366160239693795        -3.467681677017609         2.427120356418827          -0.7812866984426221      
Redshift      All|All|All               All                   All      2.2730153939004163         0.16105878669456786        -14.524772265600106        -1.3361076246231476      
