#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|MEGACAMPSF|g           3028.340616997771    All      -0.1728383941876679        0.03366734868350818        0.2042929020033631        0.07638236822333447       
Zeropoint     AB|MEGACAMPSF|i           4733.615882758961    All      2.341429331836777          0.600402762012564          0.5451967727427878        -0.5427800038952609       
Zeropoint     AB|MEGACAMPSF|z           5463.980102243766    All      0.6307741541595874         0.07795442722215995        0.1748033348394542        -0.17227090230111472      
Zeropoint     AB|MEGACAMPSF|r           3873.073100005122    All      -1.809913565592232         0.2905254598292828         -0.8945034416620309       0.6442645126755103        
Check         All|All|All               All                  All      0.9894515262164646         1.002549997747515          0.029789567923574234      0.0055959747024690865     
Lambda        AB|MEGACAMPSF|g           3028.340616997771    All      -0.0005656770903785946     7.86870995761131e-05       0.000410535261722477      0.0002282109188308427     
Lambda        AB|MEGACAMPSF|i           4733.615882758961    All      -0.00019195646338948668    -6.34030127946337e-05      -0.0009293993381566981    3.992642564773101e-07     
Lambda        AB|MEGACAMPSF|z           5463.980102243766    All      -7.815711361076324e-05     -1.5235748925038788e-05    -8.582588577699732e-05    1.6665543431360205e-05    
Lambda        AB|MEGACAMPSF|r           3873.073100005122    All      -0.0022961364223234165     0.0002891561126421155      -0.0019215931522436566    0.0007563629554098211     
MWEBV         All|All|All               All                  All      -0.22477999450045405       -2.059718617639028         0.24126978340612454       -0.5869331149224545       
Redshift      All|All|All               All                  All      2.2352190376876013         -0.4583637686769393        0.4554405684137115        -0.8570643154696619       
