#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|MEGACAMPSF|g           3028.340616997771    All      -0.21276820467815263      0.03658036021771949       0.158355439456348          0.08828770687341753       
Zeropoint     AB|MEGACAMPSF|i           4733.615882758961    All      2.1822417587196936        0.6229024406479766        0.7062954079220196         -0.47640939647765473      
Zeropoint     AB|MEGACAMPSF|z           5463.980102243766    All      0.7966238749081015        0.08217075601528734       0.16733846286742793        -0.22525333859282626      
Zeropoint     AB|MEGACAMPSF|r           3873.073100005122    All      -1.7741807537444827       0.2608723738410035        -1.0042608568840095        0.6180682052743899        
Check         All|All|All               All                  All      0.9919166752051596        1.002525930721987         0.027728453361786087       0.004693177077326416      
Lambda        AB|MEGACAMPSF|g           3028.340616997771    All      -0.0005608402330256682    8.129976189937303e-05     0.0003178541997362271      0.00022335049520811215    
Lambda        AB|MEGACAMPSF|i           4733.615882758961    All      4.270015677243464e-05     1.3039748062326247e-06    -0.0007285192051049013     -4.599456451647346e-05    
Lambda        AB|MEGACAMPSF|z           5463.980102243766    All      -6.82045591844412e-05     -1.572140022184955e-05    -0.00010773396046097801    1.228781966756927e-05     
Lambda        AB|MEGACAMPSF|r           3873.073100005122    All      -0.0027563193428604546    0.00034662921126471584    -0.0021585350909245527     0.0009144069207389273     
MWEBV         All|All|All               All                  All      -0.22299478792117378      -2.06211400398999         0.18790042614272862        -0.5906765008753297       
Redshift      All|All|All               All                  All      2.2512586443963754        -0.6933054057871146       1.0386141099828494         -0.9127928068781238       
