#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|MEGACAMPSF|r           3886.1329474521654    All      -1.2809600859729793        0.28520821855444467        -0.6944057513375418        0.47916440279940736        
Zeropoint     AB|MEGACAMPSF|g           3046.096650345907     All      -0.2632034762322173        0.041870289526180215       0.13069676642669245        0.10520495855337277        
Zeropoint     AB|MEGACAMPSF|i           4752.282612879558     All      1.5879274396387584         0.586159811184217          0.49028263030975494        -0.30442961175964334       
Zeropoint     AB|MEGACAMPSF|z           5473.57934198886      All      0.9441599918582778         0.08681437469899578        0.08464493268636174        -0.27548835875610767       
Check         All|All|All               All                   All      0.9879238692918397         1.0000526939638377         0.01121857808526737        0.004451390837029168       
Lambda        AB|MEGACAMPSF|r           3886.1329474521654    All      -0.0014955079505130891     0.00023925604673510434     -0.001684300248277399      0.0004899071215746547      
Lambda        AB|MEGACAMPSF|g           3046.096650345907     All      -0.0008142112978995246     0.00011286258669303219     0.00021565794262039755     0.00031160228753470727     
Lambda        AB|MEGACAMPSF|i           4752.282612879558     All      -0.00016716830087966616    -7.345095456906535e-05     -0.0011400053055825525     -2.0346378030686925e-05    
Lambda        AB|MEGACAMPSF|z           5473.57934198886      All      -0.00010498806858617101    -1.6117357028567902e-05    -0.00011732446087560748    2.371246267675729e-05      
MWEBV         All|All|All               All                   All      -0.3057400426454877        -2.0829073092951234        0.16734433548423938        -0.571414036706285         
Redshift      All|All|All               All                   All      2.746263129555756          -0.09695253395918257       2.1145577128683626         -0.8317658817107403        
