#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5415.645268832625     All      0.206328839161004          0.2960428784315461         -0.3741228703545236        0.012527428674909564       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g         4662.164292183313     All      -0.41928560597814235       0.3238244852288297         -0.08294580268028763       0.2383539140846165         
Zeropoint     AB|CNIa02|SDSS_i                      7404.934899876624     All      0.2765601110200374         -0.05211118149066607       0.12213688318996015        -0.10160864479272931       
Zeropoint     AB|CNIa02|SDSS_r                      6106.282581753757     All      0.44443694583692717        -0.09451972302487732       -0.3270804086738921        -0.19015201460916212       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i         7457.730565441749     All      0.23787732218133562        -0.0741047939813555        0.06226032425586799        -0.09884444682072874       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V         5426.3514239609785    All      0.3489042391246687         0.2204994418486983         0.37316353748273934        -0.025173092065418595      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4328.870921492749     All      -0.2679345633187948        0.11779687888369139        -0.24006940235685717       0.1149322260845592         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r         6145.756312683382     All      0.6974454258618289         -0.1225173086329967        0.22450428265223818        -0.2570702435737684        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B         4330.049812442798     All      -0.5276640708109733        0.3817496843740109         0.2413833491909424         0.3069978091283855         
Check         All|All|All                           All                   All      0.9966686430778912         0.9966603616368808         -0.0007701072938123554     -3.706388933638616e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5415.645268832625     All      3.148195188848793e-05      -6.263560043858848e-05     -0.000476284033195498      -5.191155207650152e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_g         4662.164292183313     All      -0.0001831869091971067     9.805874680422611e-05      -0.00029739567509884157    7.83395597761536e-05       
Lambda        AB|CNIa02|SDSS_i                      7404.934899876624     All      9.53759447605241e-06       -2.0048789261612197e-05    -0.00011869227919565551    -1.4933949833051928e-05    
Lambda        AB|CNIa02|SDSS_r                      6106.282581753757     All      6.926402601713016e-05      -1.587969033078483e-05     -5.522075482747288e-05     -3.0198358227778104e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_i         7457.730565441749     All      -3.06866289761699e-05      -9.595586613044688e-06     -0.00015401874300523434    -3.102745469673677e-09     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V         5426.3514239609785    All      1.660881584468642e-05      -2.326380348079993e-05     -0.0006532407074618836     -4.213895643249655e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4328.870921492749     All      -0.00017720378088468357    5.7473026157009694e-05     -0.00025005578092548764    6.528311565306237e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_r         6145.756312683382     All      -0.00015553098156456254    2.4682843775137595e-05     -0.00014650058441952954    5.2163923542092704e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B         4330.049812442798     All      -0.00020994212610278923    9.81005970536871e-05       -0.0001222043901348725     9.488622856938072e-05      
MWEBV         All|All|All                           All                   All      -0.864576292808426         -4.057983970321022         0.029855861634796706       -1.0388656105761007        
Redshift      All|All|All                           All                   All      6.2997859670423            -0.616283652127958         3.9061908078534224         -2.078476051626821         
