#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5415.645268832625     All      0.27861688016672953        0.5780503036095119         -0.5752486462201833        0.07186461202300237        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g         4662.164292183313     All      -0.3151141529826185        0.11073943845500978        -0.5351575285192034        0.11483290229006432        
Zeropoint     AB|CNIa02|SDSS_i                      7404.934899876624     All      0.47471765802130617        -0.08692899255029474       0.23743886842768624        -0.17235098553648465       
Zeropoint     AB|CNIa02|SDSS_r                      6106.282581753757     All      0.3566924477070522         -0.2561538936322272        -1.3473732090457435        -0.25975129347835385       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i         7457.730565441749     All      0.12388785747808863        0.00045511041220080983     0.2551333921464227         -0.02882067502991137       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V         5426.3514239609785    All      0.22841203289939455        0.22772379397855147        1.086983811172404          0.048282913097646984       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4328.870921492749     All      -0.44796526133889636       0.19335994700435677        -0.40868337783266373       0.19066305719224047        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r         6145.756312683382     All      0.630329702491548          -0.11476596569632846       0.6204498939031078         -0.21501434290656374       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B         4330.049812442798     All      -0.32662341429895836       0.36982426698592974        0.6839714104700967         0.25737842492485064        
Check         All|All|All                           All                   All      1.0029537501436456         1.02230400856671           0.017514614501923376       0.007084612576491178       
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5415.645268832625     All      -6.221948969583135e-05     -9.58249324394149e-06      -0.0006657947405167906     -1.2565759934498524e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_g         4662.164292183313     All      -0.00012145730556964553    3.945083500072309e-05      -0.00024883179958789826    4.130885473186533e-05      
Lambda        AB|CNIa02|SDSS_i                      7404.934899876624     All      -8.860752333831734e-06     -3.266221741427169e-05     -0.0002317541247559194     -1.8095042401303235e-05    
Lambda        AB|CNIa02|SDSS_r                      6106.282581753757     All      5.55122662622319e-05       -5.8422609859709334e-05    -0.0002564796899547948     -4.855784809307757e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_i         7457.730565441749     All      -2.575632985210308e-05     -1.7470048008418022e-05    -0.0001548883496492916     -4.212841061325047e-06     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V         5426.3514239609785    All      4.691420377261339e-05      1.0257773673242005e-05     5.890393858509854e-05      -9.311593001046543e-06     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4328.870921492749     All      -0.0002301063826357041     5.267200474188906e-05      -0.0004039204314789294     7.408511018403252e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_r         6145.756312683382     All      -0.0002115303031653714     2.8519476342525773e-05     -0.00024073490109740767    6.744921760832323e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_B         4330.049812442798     All      -3.0397454045696373e-05    4.76562557628273e-05       8.579472006204298e-05      2.9253285490887156e-05     
MWEBV         All|All|All                           All                   All      -0.8537980056889793        -4.039016002097995         0.11836442665289493        -1.032248231256537         
Redshift      All|All|All                           All                   All      5.32831199048925           -0.05189786437762578       3.530570596675986          -1.594958202971422         
