#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|DECam|DECam_i          6794.8447265913355    All      0.616897495624951         0.00798139208519899       0.07435595282104723        -0.19502584299780734      
Zeropoint     AB|DECam|DECam_g          4208.222074215531     All      -0.8160806122945218       0.870771394238723         0.19724879771627665        0.5582655022216204        
Zeropoint     AB|DECam|DECam_r          5593.039761872399     All      0.5812018380442987        0.09269097281361383       -0.7156568874891979        -0.19106054033117428      
Zeropoint     AB|DECam|DECam_z          7962.558671742754     All      0.6155147080152884        0.028287375364044465      0.44888612581100057        -0.17124753531437684      
Check         All|All|All               All                   All      0.9975334293900164        0.9997311345015802        0.0048339888591266145      0.0009315835782619519     
Lambda        AB|DECam|DECam_i          6794.8447265913355    All      -0.0002362808488705092    -2.72703424642402e-05     -0.0002361450238210611     5.754353033966894e-05     
Lambda        AB|DECam|DECam_g          4208.222074215531     All      -0.0008197292976483392    0.00039379559429054706    -0.0012065516200923823     0.0003414421237740163     
Lambda        AB|DECam|DECam_r          5593.039761872399     All      5.719808215471141e-05     -7.187353860062695e-06    -0.00042934173900116454    -4.013200464427806e-05    
Lambda        AB|DECam|DECam_z          7962.558671742754     All      5.638253198600785e-05     1.82224157995779e-05      0.000328196039807913       2.2158766342847373e-06    
MWEBV         All|All|All               All                   All      -0.4809692519660249       -3.4398462859018153       0.11682800463797476        -0.9585900968405173       
Redshift      All|All|All               All                   All      -0.3495830010058159       0.466489413936344         -5.786840366521034         0.007581525970286064      
