#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|DECam|DECam_i          6794.8447265913355    All      0.54377837908306          0.02003912216075321        0.11222798371299803       -0.1655908870207251       
Zeropoint     AB|DECam|DECam_g          4208.222074215531     All      -0.6982180771137932       0.8978391860095414         0.2364339425217743        0.5304393202764879        
Zeropoint     AB|DECam|DECam_r          5593.039761872399     All      0.35772172965977533       0.03525570926576904        -0.7930971693844935       -0.1404300757653687       
Zeropoint     AB|DECam|DECam_z          7962.558671742754     All      0.7932876081654617        0.04724844794097294        0.42906487244498415       -0.22386230381092054      
Check         All|All|All               All                   All      0.9965696397945039        1.0003824653770366         -0.015370370704737013     0.0005560536794735338     
Lambda        AB|DECam|DECam_i          6794.8447265913355    All      -4.673301807660706e-05    -4.912510072334712e-06     3.6320958391750514e-05    1.5243152867733606e-05    
Lambda        AB|DECam|DECam_g          4208.222074215531     All      -0.0008865772965359791    0.0006691069146151452      -0.0011122477914563835    0.0004571030174988924     
Lambda        AB|DECam|DECam_r          5593.039761872399     All      5.5378972140977294e-05    -1.4069178687485938e-06    -0.0002847021055876195    -3.120197995935823e-05    
Lambda        AB|DECam|DECam_z          7962.558671742754     All      -4.113363858395457e-05    7.235359193189794e-06      5.0686473103799784e-05    1.8017278368848514e-05    
MWEBV         All|All|All               All                   All      -0.4381947158560804       -3.443634247815197         0.08501388861512638       -0.9751767521885487       
Redshift      All|All|All               All                   All      -1.0444794542978462       0.08074358137477589        -5.3014145836388415       0.12994437710557027       
