#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|CNIa02|SDSS_g                      4659.716278533998     All      -0.4542445874580563        0.37100885524798954        -0.22290441632190253       0.2588649959836955        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4316.516985712788     All      -0.8106116097465254        0.543013722504071          0.03168539647901116        0.44233427738378533       
Zeropoint     AB|CNIa02|SDSS_r                      6088.856184839322     All      1.1953146231553384         -0.09985096225992862       -0.02929498277094445       -0.42318534138595654      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5400.189845219499     All      0.6282775755628328         0.25932086486744055        0.15938120390477112        -0.11306888786984971      
Zeropoint     AB|CNIa02|SDSS_i                      7383.8023477938905    All      0.4404070671124054         -0.07636662514913795       0.06202329918060824        -0.16556237793934855      
Check         All|All|All                           All                   All      0.9991430686259952         0.9971258552104345         0.0008905004715435566      -0.0006173338276740103    
Lambda        AB|CNIa02|SDSS_g                      4659.716278533998     All      -7.18744786606023e-05      5.951343530026723e-06      -0.0002732768988639481     1.3155337800087341e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4316.516985712788     All      -0.00023172351154123236    6.0704463978454256e-05     -0.0004920926794256401     7.329357603855829e-05     
Lambda        AB|CNIa02|SDSS_r                      6088.856184839322     All      -0.00016374758605489654    -3.939032831037007e-05     -0.0005256385773384452     1.705041454370016e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5400.189845219499     All      5.56149781638275e-05       -1.0875837876200338e-05    -0.00037882820285325774    -3.856360906544761e-05    
Lambda        AB|CNIa02|SDSS_i                      7383.8023477938905    All      -0.00011241270553202211    -1.351477236775454e-05     -0.00028742035084445774    1.9388060292696045e-05    
MWEBV         All|All|All                           All                   All      -0.8855111060577419        -4.034377386298971         0.007939072886463594       -1.0253350577380402       
Redshift      All|All|All                           All                   All      4.670852113934466          -0.08109764978723177       0.9859385140669268         -1.5038684649167848       
