#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|CNIa02|SDSS_g                      4659.716278533998     All      -0.3312582029175174        0.26426277547306753       -0.20991191399196696       0.18461337008914835        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4316.516985712788     All      -0.8419344660904703        0.6153156980986729        0.13756539212991803        0.48081323221854794        
Zeropoint     AB|CNIa02|SDSS_r                      6088.856184839322     All      1.179586980955857          -0.10219041049657207      -0.10391562075104943       -0.4221543425066199        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5400.189845219499     All      0.5424553604479935         0.3084006228124103        0.1489047386185216         -0.06959439363024289       
Zeropoint     AB|CNIa02|SDSS_i                      7383.8023477938905    All      0.45032845907454616        -0.08883224858768912      0.02754828633098061        -0.174393026851756         
Check         All|All|All                           All                   All      0.999178131470409          0.9969564372998896        0.00019088233640385255     -0.000715160680922533      
Lambda        AB|CNIa02|SDSS_g                      4659.716278533998     All      -2.9686037497276077e-05    6.38140165918042e-06      -0.0002493369044058049     6.21590636111146e-07       
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4316.516985712788     All      -0.0003023364867882759     0.00011451032012107364    -0.0004856670036793448     0.00011410763107663821     
Lambda        AB|CNIa02|SDSS_r                      6088.856184839322     All      -0.000123379106619625      -5.122857858055499e-05    -0.0005694510202679843     -1.9101829764312207e-06    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5400.189845219499     All      3.0235473956001186e-05     1.841041030623492e-05     -0.00038203828746836364    -2.0900426395091886e-05    
Lambda        AB|CNIa02|SDSS_i                      7383.8023477938905    All      -0.00012430209734010995    -1.565530752405865e-05    -0.000322433429234635      2.100111075273821e-05      
MWEBV         All|All|All                           All                   All      -0.879016828215359         -4.036032667981271        0.010779220776668819       -1.0278628946317618        
Redshift      All|All|All                           All                   All      4.708847597903529          -0.4763793019434637       0.5288454185013225         -1.6653990480496128        
