#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_z                5873.231773449617     All      0.458251923218572          0.018142659941489114      -0.8974388096742225       -0.18340663850242717      
Zeropoint     AB|PS|PS_g                3322.4815675067302    All      -0.6960244936228834        0.16574902896913102       0.21325732371383355       0.2902246827168761        
Zeropoint     AB|PS|PS_i                5110.517643397796     All      1.590573715283723          0.45827284120836254       1.7051979739344025        -0.29273249239294696      
Zeropoint     AB|PS|PS_r                4219.326041026314     All      -0.35711992524953223       0.3557347032856484        -1.0138239359125278       0.1869578987997278        
Check         All|All|All               All                   All      0.9956812196298791         0.997899233404631         0.007192552061485724      0.0010434506212297912     
Lambda        AB|PS|PS_z                5873.231773449617     All      -0.0001758538080972848     1.5193792236968344e-05    0.0007844438266590884     9.723661387183984e-05     
Lambda        AB|PS|PS_g                3322.4815675067302    All      -0.0006744344009150494     0.000234092736110821      0.0009048067827681052     0.00033631454927201984    
Lambda        AB|PS|PS_i                5110.517643397796     All      -1.3863167790418142e-05    2.9150392010470824e-05    -0.0007354134914622101    -1.880719496072763e-05    
Lambda        AB|PS|PS_r                4219.326041026314     All      -0.00031739661722010636    6.671418621707317e-05     -0.0013617433017920795    6.434917625135654e-05     
MWEBV         All|All|All               All                   All      -0.5371301464805835        -2.369579211289441        0.05201873512105104       -0.5945675889567666       
Redshift      All|All|All               All                   All      3.739565994498209          0.48379546679999663       -2.9557959190689598       -1.1924151689285538       
