#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_R    6326.511587688163     All      0.9924202014906511         -0.010537926303655354      0.14210045534801077        -0.32035516788652413       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_V    5354.1034489216545    All      -0.3139693726273761        0.5038369069520598         -4.761573712254129         0.0538992446256092         
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_I    8184.723103400135     All      0.7846951532019059         -0.10330455992164644       2.5645767219693236         -0.1748054404605065        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_B    4338.117592793765     All      -0.2323837492643015        0.40145026803735107        1.0954840049923023         0.25534701172169316        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_U    3630.9670606957975    All      -0.27156512403095195       0.19989491264205128        0.7706553213203176         0.1879608520175527         
Check         All|All|All                                All                   All      0.9591971087699275         0.9913396014061604         -0.18875720862417444       0.0020465000178244153      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_R    6326.511587688163     All      -0.0002753561918431272     -3.4049370329153924e-05    -0.0003472814014928817     6.310399658288224e-05      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_V    5354.1034489216545    All      -0.0001297724043663909     5.990417653831563e-05      -0.0018236285492368599     -1.9596263954639497e-05    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_I    8184.723103400135     All      -0.00011782359319731181    1.163349747314334e-05      -0.00047245144323172073    2.1085095422706648e-05     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_B    4338.117592793765     All      -0.0005539289511939027     0.000124614909910969       -0.0019125322412326799     0.00013567652900846726     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_AC_SAO_U    3630.9670606957975    All      -0.0004165962632139896     0.00023745355016282927     0.0005358649790119928      0.00023695873469102994     
MWEBV         All|All|All                                All                   All      -0.8472123391301509        -3.9711372740129036        1.1062048355762315         -0.9682002841722506        
Redshift      All|All|All                                All                   All      7.408849236490493          -1.271720870287396         10.032910061142298         -2.3798245695118547        
