#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4376.381826799394     All      -0.3622850141007679        0.26095709557392155       -0.027932251731721536      0.20176397107082855        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B                   4361.511825885788     All      -0.7482219700496526        0.5549119671530711        0.07208148557162897        0.42769026082281336        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R                   6378.002403368565     All      0.6628451286751404         -0.0817182166846564       0.020656767284721322       -0.2416069603393453        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5373.216316082673     All      0.19972967118815865        0.17755623112503116       -0.1327775781012841        -0.013147872398372451      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V                   5375.877081045464     All      0.2927727932635844         0.26365807448573975       -0.03807415491242638       -0.011182696417214033      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I                   7886.320167783251     All      0.22197828371495512        -0.05164530671173395      0.04458622312396576        -0.08713852698980645       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7835.750859239884     All      0.20818899537196603        -0.04925433290186021      0.046145199805214254       -0.08179851332264232       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6531.4904534014195    All      0.5217407136239479         -0.07778332757606421      0.015352411623514861       -0.19459959635426405       
Check         All|All|All                                      All                   All      0.9967486016873321         0.9966821844634488        3.8102663613148735e-05     -1.9933928002702217e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4376.381826799394     All      -0.00017831715244491424    7.81129827596201e-05      -0.0003467626763888156     6.805330571311617e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B                   4361.511825885788     All      -0.0003506930037825105     0.00013659033425664452    -0.0007079220159868662     0.00012713290613972455     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R                   6378.002403368565     All      -0.00015905896420351505    5.067258972590986e-06     -0.00018586909567403672    4.51668264067632e-05       
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5373.216316082673     All      2.9451408531198467e-05     1.9187346287458457e-05    -0.0005128962416898249     -2.6231546369786982e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V                   5375.877081045464     All      7.008900584414502e-05      9.718086038221038e-06     -0.0005514188305175152     -4.4272084555968597e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I                   7886.320167783251     All      9.650963730547863e-06      -2.103200600118758e-07    2.970944338620515e-05      -1.8863485493972746e-06    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7835.750859239884     All      -3.1187089528237833e-06    1.319279229281582e-06     2.5933246867944676e-06     1.561326926448276e-06      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6531.4904534014195    All      -0.00011277578706373338    6.969874480344806e-06     -0.00011580214323910519    3.3837383687400904e-05     
MWEBV         All|All|All                                      All                   All      -0.8402811856673531        -4.077602130290092        0.020722942498818675       -1.0535771666125084        
Redshift      All|All|All                                      All                   All      3.3844752701075156         -0.4635066729051118       0.5427905839222036         -1.2291920628714286        
