#Date  :
#Mag  :
#Magerr  :
#end  :
@INSTRUMENT  LOSS
@BAND  LOSS_K3_I
@MAGSYS  Linear_AB11_off
52186.44  16.794  0.039
52189.44  16.037  0.078
52190.54  15.635  0.066
52191.54  15.488  0.034
52192.52  15.333  0.012
52193.52  15.2  0.019
52194.54  15.13  0.019
52196.53  15.005  0.022
52197.35  15.026  0.013
52198.52  15.004  0.011
52199.52  15.053  0.01
52200.5  15.07  0.011
52201.5  15.099  0.01
52202.52  15.181  0.028
52203.5  15.162  0.011
52204.53  15.193  0.011
52206.51  15.3  0.024
52208.52  15.391  0.016
52214.34  15.479  0.014
52218.5  15.41  0.048
52220.48  15.421  0.01
52222.47  15.403  0.011
52228.47  15.569  0.012
52231.45  15.782  0.019
52233.46  15.996  0.04
52250.41  16.781  0.048
52265.33  17.391  0.046
52267.37  17.431  0.104
52278.34  17.773  0.108
52288.27  18.142  0.104
52293.28  18.313  0.094
52317.19  19.049  0.346
52336.14  19.111  0.305
