#Date  :
#Mag  :
#Magerr  :
#end  :
@INSTRUMENT  LOSS
@BAND  LOSS_K3_B
@MAGSYS  Linear_AB11_off
52186.44  17.412  0.06
52189.44  16.269  0.029
52190.54  15.951  0.023
52191.54  15.719  0.012
52192.52  15.54  0.01
52194.54  15.306  0.012
52196.53  15.134  0.013
52197.35  15.094  0.01
52198.52  15.049  0.01
52199.52  15.027  0.014
52200.5  15.034  0.01
52201.5  15.051  0.01
52202.52  15.113  0.01
52203.5  15.174  0.01
52204.53  15.262  0.01
52206.51  15.459  0.016
52208.52  15.63  0.016
52214.34  16.372  0.032
52218.5  16.901  0.057
52220.48  17.061  0.023
52222.47  17.237  0.024
52228.47  17.633  0.034
52231.45  17.826  0.044
52250.41  18.458  0.088
52265.33  18.567  0.11
52267.37  18.799  0.108
52278.34  18.873  0.208
52283.36  19.083  0.086
52288.27  18.934  0.053
52293.28  19.201  0.087
52317.19  19.359  0.138
52336.14  19.878  0.131
