#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4376.381826799394     All      -0.3840682760304176        0.2718628802758971        -0.0441355383997975        0.21168879073144706        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B                   4361.511825885788     All      -0.7133270013812343        0.5046429705441113        -0.05853929207760755       0.39412055013378283        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R                   6378.002403368565     All      0.6538861766471994         -0.07513934148377643      0.04409569690184818        -0.2354998070538836        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5373.216316082673     All      0.2209220996689037         0.19775461535020966       -0.03236018666318041       -0.00899049833600969       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V                   5375.877081045464     All      0.2870982256268878         0.26050653008020674       -0.030035854170081422      -0.010002152302274333      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I                   7886.320167783251     All      0.2052501207521507         -0.046249656236252434     0.04630375542209318        -0.07985542752298906       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7835.750859239884     All      0.19100744125067717        -0.04276703387322556      0.05159822209110937        -0.07384544582977876       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6531.4904534014195    All      0.5359765521213106         -0.07371402173692587      0.02381731758333426        -0.19753342063495755       
Check         All|All|All                                      All                   All      0.9967453386554779         0.9968969429202446        0.0007441206877181056      8.258918533682325e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4376.381826799394     All      -0.0001428378103527557     5.8177193290365554e-05    -0.00028298518417197425    5.2848870818097976e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B                   4361.511825885788     All      -0.0002493028480200667     7.620945772707056e-05     -0.0006201519018954482     7.835553589168105e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R                   6378.002403368565     All      -0.00019384426775528643    2.366970506909797e-06     -0.000276399701651838      5.157800623319037e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5373.216316082673     All      1.493269527158107e-05      1.5389159197483532e-05    -0.0004808215019948263     -2.1308169982862784e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V                   5375.877081045464     All      2.5603593279225733e-05     1.0651984913680783e-05    -0.0004985859475346002     -2.711983165400169e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I                   7886.320167783251     All      1.1262622739397499e-05     4.746902957944058e-07     4.36122398522375e-05       -1.56777054848422e-06      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7835.750859239884     All      5.62408566690535e-08       5.271895356422672e-07     6.389145501745219e-06      4.3852169795189213e-07     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6531.4904534014195    All      -0.00013867133002547091    4.06434910858659e-06      -0.00017764475447482774    3.8566237058959644e-05     
MWEBV         All|All|All                                      All                   All      -0.8432106553711125        -4.075076583944348        0.01867480750540529        -1.0518916872785           
Redshift      All|All|All                                      All                   All      3.319787974964764          0.017098181083952113      -0.32803765624713394       -1.0904335351096643        
