#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_V    5322.262925563128    All      0.09451355438865848        0.15489736143492472        0.02512760893732724        0.020790322303153117      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I    7862.096813877661    All      0.24703974770408485        -0.05940310579219954       0.062211483303172346       -0.09704230628135171      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_B    4311.930507063198    All      -0.16051032843088134       0.08866130800084804        -0.09770158198698754       0.07680342661221892       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B    4438.398375684367    All      -0.9761839423362415        0.698435324260327          -0.08265259407114718       0.5417901828041763        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R    6345.401638610731    All      0.8286272145382433         -0.11179700695009842       0.05492173286865467        -0.30387620328512577      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V    5367.832419996279    All      0.2969978430632579         0.3608491094713173         0.13369736409957533        0.026764757423355462      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_R    6343.066681321716    All      0.5643692578964193         -0.10643454880017167       -0.10948827332711841       -0.22338882740794994      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_I    8196.404582832618    All      0.10215150751157027        -0.027969442791819787      0.014091396411875965       -0.041755840063505884     
Check         All|All|All                       All                  All      0.9970048543351113         0.9972389988331276         0.00020713623535240956     8.551210497054207e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_V    5322.262925563128    All      1.3805490470098852e-05     2.585864627331832e-05      -0.00026425260092639814    -7.866270528891557e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I    7862.096813877661    All      1.4821572986706367e-05     -5.631971217556008e-07     4.710981129183414e-05      -2.9090312578113e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_N2_B    4311.930507063198    All      -9.916263448851305e-05     5.520491318869224e-05      -6.398504173700169e-05     4.742723027988146e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B    4438.398375684367    All      -0.00037680286542497385    0.00010921552993863078     -0.0007524544915922497     0.00012473359283891416    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R    6345.401638610731    All      -0.0002620768825257073     -2.2316294170782204e-06    -0.000411490893187367      6.627719893874912e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V    5367.832419996279    All      4.190796655753871e-05      -5.568379701658351e-06     -0.0006332691890948873     -4.372450331113897e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_N2_R    6343.066681321716    All      -0.0001563971874772018     7.433193091294719e-06      -0.00015154335091192885    4.660226107282159e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_I    8196.404582832618    All      -6.644461698911139e-06     1.4931815772635487e-06     -3.644646252333074e-06     2.488054312574937e-06     
MWEBV         All|All|All                       All                  All      -0.8610829423597419        -4.102991384202248         0.010273906027411382       -1.0555377578881924       
Redshift      All|All|All                       All                  All      4.205363248625278          -0.2961552875824225        -1.446195876991009         -1.5308297626565046       
