#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_V    5322.262925563128    All      0.04582066062826862        0.14290094337727766        -0.031851346081557264      0.03020086265010935       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I    7862.096813877661    All      0.22473562300023445        -0.059962804378255186      0.04329052469741468        -0.09080378680617063      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_B    4311.930507063198    All      -0.07884217661145386       0.04257896537045447        -0.06265485702742213       0.03675486207464218       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B    4438.398375684367    All      -0.8970055092744329        0.7289069984564911         0.1822358493480447         0.5377455436780476        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R    6345.401638610731    All      0.8104524991723292         -0.12461120374687162       -0.06675025851339278       -0.3075597681874709       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V    5367.832419996279    All      0.2369522230656697         0.4269751293688895         0.07518402619155484        0.06525182993207257       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_R    6343.066681321716    All      0.5058492718808177         -0.11653854223441229       -0.21963726285696428       -0.21253358929206323      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_I    8196.404582832618    All      0.08890533538491777        -0.02723775327555522       -0.003539403666197316      -0.03798957230056743      
Check         All|All|All                       All                  All      0.9368679272463507         1.0130117329380184         -0.08372272790851953       0.02106638174859954       
Lambda        Linear_AB11_off|LOSS|LOSS_N2_V    5322.262925563128    All      -4.618096709330754e-05     6.335711191530253e-05      -0.0002487819544828323     2.457816001448275e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I    7862.096813877661    All      2.9235981308594524e-05     -5.751600446010025e-06     4.507287027967502e-05      -9.385211246348231e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_N2_B    4311.930507063198    All      -7.671291628514393e-05     4.061704565412635e-05      -6.29920037894286e-05      3.5407184827400185e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B    4438.398375684367    All      -0.000640346108902785      0.0003463378544165378      -0.0007942920795181781     0.0002859498203339845     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R    6345.401638610731    All      -0.00016565663888318486    -2.0497002219024285e-05    -0.00034330698759393034    3.1963055167358995e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V    5367.832419996279    All      2.0824723744057312e-06     0.00010438159188840447     -0.0006460338215834529     4.492666435526283e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_R    6343.066681321716    All      -9.799095565795798e-05     5.387407716232918e-06      -0.00012097236410674792    2.827529299399558e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_I    8196.404582832618    All      -5.959238258117137e-06     1.2578905707942418e-06     -6.023869504454293e-06     2.0820386667104696e-06    
MWEBV         All|All|All                       All                  All      -0.8492113274605781        -4.112264840082114         -0.00816541843953189       -1.0632482654552937       
Redshift      All|All|All                       All                  All      4.129687243639571          -1.7531089680484335        -2.0599493388523737        -2.0081463423813615       
