#Date  :
#Flux  :
#Fluxerr  :
#ZP  :
#end  :
@INSTRUMENT  ACSWF
@BAND  F850LP
@MAGSYS  VEGAHST
53472.0  5.825418651266788  0.107307706807525  24.35331785488959
53530.299999999814  1.423260755544054  0.026217317073574803  24.353211186119875
