#Format:        
#Parameter MagSys|Instrument|Band RestLamb Phase dmu/dP dmB/dP ds/dP dc/dP
Zeropoint VEGAHST|ACSWF|F850LP 5543.526694101643 All 0.9968160596420826 0.17206668656266189 -1.3016334748286194 -0.32673392805568136
Zeropoint VEGAHST|ACSWF|F606W 3684.810591472363 All -0.7891550160023135 0.26566990755139663 -0.3000129934090019 0.33020297832465045
Zeropoint VEGAHST|ACSWF|F775W 4719.633692502626 All 1.8416015845511993 0.4874711696246834 7.129935481750877 -0.122908551767637
Check All|All|All All All 2.0492626281909683 0.9252077637387419 5.528289013513255 -0.1194395014986679
