#Format:        
#Parameter MagSys|Instrument|Band RestLamb Phase dmu/dP dmB/dP ds/dP dc/dP
Zeropoint VEGAHST|ACSWF|F850LP 5543.526694101643 All 0.8511221281783549 0.17411648684461056 -1.7216553536371881 -0.29735258136222775
Zeropoint VEGAHST|ACSWF|F606W 3684.810591472363 All -0.9196775031957661 0.2196551474064723 -0.7727371162049103 0.3366344187889791
Zeropoint VEGAHST|ACSWF|F775W 4719.633692502626 All 1.9128802391740196 0.46126779020042896 7.880179186585329 -0.12118172651837152
Check All|All|All All All 1.8443248641566083 0.8550394244515118 5.38578671674323 -0.08189988909162017
