#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_r            4430.213560790097     All      0.2287992302457596        0.5472318091374717        0.17542494296640482        0.11155237657267415        
Zeropoint     AB|SDSS|SDSS_i            5372.408264928247     All      1.4476282611925513        0.2855545446491803        0.1964391502262543         -0.36975946350565936       
Zeropoint     AB|SDSS|SDSS_g            3390.3803308733336    All      -0.8400016668289569       0.1627783709643893        -0.22676877474650786       0.316518799886995          
Zeropoint     AB|SDSS|SDSS_z            6387.345590285231     All      0.15522343310459055       0.0033210127970306758     -0.14311126083181297       -0.055866014020038525      
Check         All|All|All               All                   All      0.9916492577139446        0.998885737548072         0.001984057614338286       0.0024456989339712507      
Lambda        AB|SDSS|SDSS_r            4430.213560790097     All      -0.0002555067307641217    -0.0001694396889475275    -0.0020669447825492314     -6.420338546991873e-05     
Lambda        AB|SDSS|SDSS_i            5372.408264928247     All      0.00031643907695669184    3.165504031239541e-05     -0.00046577667306920415    -0.00011354900353575812    
Lambda        AB|SDSS|SDSS_g            3390.3803308733336    All      -0.001726536980967811     0.00023831993767211654    -0.0012986006536551322     0.0005820679573580373      
Lambda        AB|SDSS|SDSS_z            6387.345590285231     All      -4.55807414175749e-05     -3.371191658025557e-06    -4.122999891883726e-07     1.3730639954733073e-05     
MWEBV         All|All|All               All                   All      -0.592991259825135        -2.576332824519234        0.01414806848571381        -0.6454082343034385        
Redshift      All|All|All               All                   All      1.7778616931273976        0.724015478277984         -2.319900354443505         -0.44679888058898176       
