#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_r            4430.213560790097     All      0.7323318802077325         0.5598464392187807         0.48327295423823413        -0.034617930377300876      
Zeropoint     AB|SDSS|SDSS_i            5372.408264928247     All      1.1472318841791962         0.3204121925325154         0.5129990581540955         -0.2464295832832475        
Zeropoint     AB|SDSS|SDSS_g            3390.3803308733336    All      -1.0141856220582777        0.09549627453928622        -1.0024920120893066        0.3167232869515729         
Zeropoint     AB|SDSS|SDSS_z            6387.345590285231     All      0.13170258697962278        0.02329220341046323        0.01642482954455904        -0.03457986381809608       
Check         All|All|All               All                   All      0.9970807293082738         0.9990471097010456         0.010204829847582086       0.0010959094729284802      
Lambda        AB|SDSS|SDSS_r            4430.213560790097     All      -0.00034206113786591026    -0.00019920015829055253    -0.001421357350178202      -1.6894129445946578e-05    
Lambda        AB|SDSS|SDSS_i            5372.408264928247     All      0.00011520460084580745     1.5989353797818364e-06     -0.0004987146570553586     -5.926044738847224e-05     
Lambda        AB|SDSS|SDSS_g            3390.3803308733336    All      -0.0013040588289350034     -2.036437478314181e-05     -0.0024031002771433578     0.0003109021876818311      
Lambda        AB|SDSS|SDSS_z            6387.345590285231     All      -3.663625190649223e-05     -1.1485327304033829e-05    -0.00012284870741701868    2.7103099955462004e-06     
MWEBV         All|All|All               All                   All      -0.7091012163497432        -2.53999396919653          0.2743153732457482         -0.5841405689616025        
Redshift      All|All|All               All                   All      2.380944768901985          1.4724323210119294         -1.6079535736868045        -0.3676879763795271        
