#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                    dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4109.0669996394445    All      -2.8984498535369108       0.587909953852872         -0.4343802987678476      1.1162376894001915        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    4920.611794924127     All      3.891579205554934         0.414247596572892         0.4459201340620372       -1.1127819383112518       
Check         All|All|All                            All                   All      0.9931293520180232        1.002157550425764         0.01153983529418956      0.003455751088939696      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4109.0669996394445    All      -0.0009818215943447803    0.0001378813322784469     -0.002619039192532272    0.00024784838998251015    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    4920.611794924127     All      -0.0008827147746322012    -7.940636148995053e-05    0.0013941010653155408    0.00032387630589266446    
MWEBV         All|All|All                            All                   All      -0.04774870611946325      -2.11295282775108         0.0161231322785223       -0.6719854242701823       
Redshift      All|All|All                            All                   All      6.395226003368467         0.6161909429010848        6.310750700946346        -1.6008020242468188       
