#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7503.51147211267     All      0.5772694754577208         -0.07311144147337245      1.2902444090072502         -0.15427277944530943       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6158.885949948984    All      1.3928128139426386         -0.07849966673063591      1.3839124206673656         -0.4174972244435979        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4321.842609833261    All      -0.8407833650770609        0.7937665856923459        2.0967904588663053         0.6259968220306484         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5344.797126372319    All      -0.12101487537509847       0.3593000919160261        -4.6456665330700835        -0.05086037385650716       
Check         All|All|All                                All                  All      1.0082840489482001         1.0014555694043636        0.12528075547083795        0.0033664442852339715      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7503.51147211267     All      -0.00015167340372281205    2.3137712741775602e-05    -0.0002538046816066125     4.56155944900592e-05       
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6158.885949948984    All      -0.0002856876148313017     1.711439195693419e-05     -0.00013963548942270954    9.240128493072467e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4321.842609833261    All      -0.00013846780651955614    8.346973406464919e-05     -0.00023672673920762936    6.172833137223456e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5344.797126372319    All      1.1135898276532179e-05     5.108238290611657e-05     -0.0005507544808324951     -1.1565758711552911e-05    
MWEBV         All|All|All                                All                  All      -0.8502674661904273        -4.008220489943071        0.2544521451420138         -1.017294162823514         
Redshift      All|All|All                                All                  All      3.1393111988693816         0.05629295855920091       -4.154835600357359         -1.189651699530664         
