#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7503.51147211267     All      0.572696057887479          -0.06616252608697692      1.4196688167132931         -0.14474395963672143      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6158.885949948984    All      1.3552466423225031         -0.0681478377211775       1.3355983868437504         -0.40404478861436055      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4321.842609833261    All      -0.7926747224409334        0.7715861399168134        1.9168516976983407         0.5950715130105602        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5344.797126372319    All      -0.13099741416911387       0.36313629729392005       -4.586551290631591         -0.04372111249299482      
Check         All|All|All                                All                  All      1.004270563599935          1.000412073402579         0.08556761062379348        0.0025616522664833052     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7503.51147211267     All      -0.00018227585798347875    1.4612352718677565e-05    -0.0005429737213235951     3.990254426085465e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6158.885949948984    All      -0.00016682810691221578    1.5107097939191702e-05    0.00015288427282144758     6.608480463451004e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4321.842609833261    All      -0.00018178471996350328    0.00015266189020048964    3.478654075098897e-05      0.00011049262744197994    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5344.797126372319    All      -1.103052565834838e-05     9.752265076724773e-05     -0.00048200289750729704    1.3849765298728475e-05    
MWEBV         All|All|All                                All                  All      -0.8362963251256033        -4.011350042142325        0.2877512777196889         -1.0213784338661644       
Redshift      All|All|All                                All                  All      3.3695108341097253         -0.3423502178133475       -2.0133507525780137        -1.298921858314743        
