#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|CNIa02|SDSS_i                      7398.985219379728    All      0.5739882707044485         -0.13019480456275545       0.1970839611431019         -0.22058064253765441       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4325.392781678771    All      -0.9982481449549065        0.7227599372022553         0.06703034480568387        0.563580208272163          
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5411.293932937071    All      0.34743669228040097        0.513602236093913          -0.29804768558583383       0.040825084979886905       
Zeropoint     AB|CNIa02|SDSS_r                      6101.376336003264    All      1.0730414367924808         -0.10745033637853396       0.035158022403322664       -0.38295606648265784       
Check         All|All|All                           All                  All      0.9962182548224238         0.9987170323548789         0.0012246427662745973      0.0008685842317376902      
Lambda        AB|CNIa02|SDSS_i                      7398.985219379728    All      -0.00018074577476117037    4.159159733638405e-05      -5.424924038533157e-05     7.000170233379935e-05      
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4325.392781678771    All      -2.5431293623121416e-05    -6.518941248249799e-05     -0.0006399649956677673     -4.1509225819498604e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5411.293932937071    All      -6.758152881019752e-05     -6.0885119308430625e-05    -0.0010008214770485767     -4.2480825033839776e-05    
Lambda        AB|CNIa02|SDSS_r                      6101.376336003264    All      -0.00021148660033024747    4.929614882587457e-06      -0.00011061655934899992    6.555757217655438e-05      
MWEBV         All|All|All                           All                  All      -0.8785959360620414        -4.0393305163153315        0.06053322344985873        -1.0268539181239933        
Redshift      All|All|All                           All                  All      4.83451542577478           -0.22567565081956786       -2.002187280421006         -1.7376191316000087        
