#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|CNIa02|SDSS_i                      7398.985219379728    All      0.6307795096697546         -0.14753914783920408       0.2934980785836995        -0.24042652141465534       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4325.392781678771    All      -0.9602133469123479        0.7116011486414386         0.11312211395758831       0.5496131026599271         
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5411.293932937071    All      0.23640329210484345        0.5574129837009778         -0.40462039145884854      0.08650706774145674        
Zeropoint     AB|CNIa02|SDSS_r                      6101.376336003264    All      1.0888647525114887         -0.12254018981501247       -0.0017641052053653302    -0.394673167667634         
Check         All|All|All                           All                  All      0.995834207373739          0.9989347946881999         0.0002356958770739152     0.0010204813190944906      
Lambda        AB|CNIa02|SDSS_i                      7398.985219379728    All      -0.00017737619022137175    5.0860188532151795e-05     6.940507114819414e-06     7.465382026978952e-05      
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4325.392781678771    All      -0.00011117595692166312    1.0163252302565793e-05     -0.0005458792351979194    1.5164089251502913e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5411.293932937071    All      -3.328357863101173e-05     -2.5346660529181485e-05    -0.0009641426300018972    -4.0439942087436386e-05    
Lambda        AB|CNIa02|SDSS_r                      6101.376336003264    All      -0.00015204278833309639    -1.3564731552678432e-07    -0.0001588652027593197    4.239172906825499e-05      
MWEBV         All|All|All                           All                  All      -0.8676163715916108        -4.04588273954225          0.05486929371974153       -1.03281735332607          
Redshift      All|All|All                           All                  All      4.7645220155740295         -0.7691548048431862        -2.0342823099333933       -1.8932812693413978        
