#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B         4358.042051758955    All      -0.45060152441393025       0.29096043057204035        -0.07350436444185833       0.23827096321089122        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i         7505.942153711098    All      0.20171728927782706        -0.036954869028793524      0.04232003417497693        -0.07585482528490188       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5450.655498502721    All      0.37955668998805947        0.12320049181742121        -0.015376773068666855      -0.0841898423716761        
Zeropoint     AB|CNIa02|SDSS_i                      7452.805182856341    All      0.20371633679962428        -0.03563623345441691       0.05115615088340799        -0.07568214253518381       
Zeropoint     AB|CNIa02|SDSS_r                      6145.757537184836    All      0.5547378861302389         -0.05011246541490877       0.06364453605885666        -0.19417949514823593       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r         6185.486451812281    All      0.5744278270407988         -0.05809401350664878       -0.005400419221126881      -0.20627416872336873       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g         4692.303534051391    All      -0.38336759722201214       0.37468164726988107        0.07809276862288986        0.250406499606915          
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4356.85553969621     All      -0.46285339943403886       0.28668050644542475        -0.14055742938312546       0.23787541956155553        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V         5461.430865134287    All      0.37988724030441523        0.10180780575708148        0.0003252562377162024      -0.09056510568168295       
Check         All|All|All                           All                  All      0.9972207484709825         0.9965333004570809         0.0006997598630701082      -0.00019269736568762463    
Lambda        Linear_AB11_off|LCOGT|LCOGT_B         4358.042051758955    All      -0.00026128914700471976    8.383210295052646e-05      -0.0004538047595330058     9.216612309420991e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_i         7505.942153711098    All      -2.9112244321140388e-05    -4.732274271517054e-06     -9.150481728052572e-05     3.857918593547658e-06      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5450.655498502721    All      4.1001226122036266e-05     -2.956251520370423e-05     -0.0004176692699375126     -4.162359325966767e-05     
Lambda        AB|CNIa02|SDSS_i                      7452.805182856341    All      -2.7716289688083556e-05    -3.1543154979554682e-06    -7.340870438309776e-05     4.7247497360402915e-06     
Lambda        AB|CNIa02|SDSS_r                      6145.757537184836    All      -4.59619436627665e-05      -1.2210792444241042e-05    -0.00016280935413840074    3.728426612887479e-06      
Lambda        Linear_AB11_off|LCOGT|LCOGT_r         6185.486451812281    All      -0.00010895799948865806    -3.1968354703069768e-06    -0.00015421695825767255    2.7567896005553727e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_g         4692.303534051391    All      -8.085968932066995e-05     -4.5810601528362294e-05    -0.0005703043413659731     -1.4033422467371552e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4356.85553969621     All      -0.00021083421178005       6.623982299671451e-05      -0.0003592649982513439     7.4219781764277e-05        
Lambda        Linear_AB11_off|LCOGT|LCOGT_V         5461.430865134287    All      4.6031796304926194e-05     -2.8807891564873338e-05    -0.0005531165677279883     -4.9060800536981744e-05    
MWEBV         All|All|All                           All                  All      -0.8995797932732748        -4.08036362891786          0.015881212568087947       -1.0353772343722338        
Redshift      All|All|All                           All                  All      5.220547448312518          0.25061264914958414        3.2857471664119924         -1.4722434649395735        
