#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B         4358.042051758955    All      -0.4685335154394876        0.29925751149351143        -0.06430622638951833       0.24722510551063032       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i         7505.942153711098    All      0.2260007105298708         -0.039171393955328426      0.047362297699507505       -0.08426171651477743      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5450.655498502721    All      0.37881368998496706        0.12017497576368719        -0.01654074890960755       -0.08498527583775117      
Zeropoint     AB|CNIa02|SDSS_i                      7452.805182856341    All      0.2093645962955233         -0.034376989279572         0.049938569466981275       -0.0771661242860322       
Zeropoint     AB|CNIa02|SDSS_r                      6145.757537184836    All      0.5232967905670723         -0.04175837196545018       0.07364139646040269        -0.18077077889819132      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r         6185.486451812281    All      0.5806709617221666         -0.0498577681840473        0.030460666445961126       -0.20402463146681343      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g         4692.303534051391    All      -0.3924128989988367        0.36195905025211417        0.003021972340125356       0.24585861871711662       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4356.85553969621     All      -0.457936708599361         0.27600996260321864        -0.14733833926247886       0.23249554355818242       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V         5461.430865134287    All      0.39617781375870653        0.10475628293393768        0.024214292705307394       -0.09384500740200058      
Check         All|All|All                           All                  All      0.9954414398206214         0.9969932596620712         0.0004538805566806081      0.0005257333803632136     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B         4358.042051758955    All      -0.0002704953599380684     6.502750042188213e-05      -0.0005259305111147813     8.58209707938845e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_i         7505.942153711098    All      -3.258655646152661e-05     -3.650047878193098e-06     -9.121866538920114e-05     5.354902744303894e-06     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5450.655498502721    All      2.0993266451986662e-05     -3.444784710583588e-05     -0.0003917016283492902     -3.553883929696264e-05    
Lambda        AB|CNIa02|SDSS_i                      7452.805182856341    All      -2.8144131894254714e-05    -2.4132807720480708e-06    -6.816220354852777e-05     5.3396186436672126e-06    
Lambda        AB|CNIa02|SDSS_r                      6145.757537184836    All      -4.851464897124369e-05     -1.3650815015708071e-05    -0.00012651864565932854    5.710351628732122e-06     
Lambda        Linear_AB11_off|LCOGT|LCOGT_r         6185.486451812281    All      -0.0001327931256079441     6.206743160803941e-09      -0.0001310895677710175     3.7407186178005056e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_g         4692.303534051391    All      -4.2938486504591835e-05    -0.00010557197430781353    -0.0006154576426739505     -4.786683545588043e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4356.85553969621     All      -0.00017440332735047174    3.541283766536946e-05      -0.00038523851376460566    5.115260215963851e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V         5461.430865134287    All      6.819162064821487e-06      -2.6909245980058624e-05    -0.0005606552934946007     -3.600592288392196e-05    
MWEBV         All|All|All                           All                  All      -0.9038740920371371        -4.077665401070085         0.02089845585363792        -1.0328756418830618       
Redshift      All|All|All                           All                  All      5.662069510173457          0.7534342724063059         3.694216480201212          -1.434048071654588        
