#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                     dmB/dP                   ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4727.322644723591    All      -2.252787696884798         1.3897133020421393       -0.06768855671838991       1.1834617806698755        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5660.973541215054    All      3.249420032795442          -0.38715345864019923     0.06290964299959234        -1.1817442574412695       
Check         All|All|All                            All                  All      0.9966323359106445         1.00255984340194         -0.004778913718797573      0.001717523228605966      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4727.322644723591    All      -0.00031252104788338883    4.275145496416564e-05    -0.0014835297513262939     4.9520823099626136e-05    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5660.973541215054    All      -0.00018917343139240197    1.728804631566469e-05    -0.00016919478351873015    5.9700909565472515e-05    
MWEBV         All|All|All                            All                  All      -0.2874673486130206        -2.6266790820034913      -0.011725096795034418      -0.7624814565639709       
Redshift      All|All|All                            All                  All      3.5948006830815418         0.8933270976397623       3.7807419955092736         -0.7112416716798076       
