#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|DECam|DECam_r          5614.416911761417    All      0.3108774035229187         0.1616666479659301         -0.9301321528140116        -0.09011037801058899       
Zeropoint     AB|DECam|DECam_g          4224.306314249016    All      -0.7419470530468703        0.8175046040669542         0.06732081762719222        0.5109689280549674         
Zeropoint     AB|DECam|DECam_z          7992.992356728568    All      0.47376116359665604        -0.09602372730057596       0.15944906630629418        -0.17848220482516927       
Zeropoint     AB|DECam|DECam_i          6820.81529364919     All      0.9540974488889421         0.11080872485500493        0.6927348852756587         -0.2437733044792091        
Check         All|All|All               All                  All      0.9967889629616464         0.9939562495873133         -0.01062738360486648       -0.0013969592599999414     
Lambda        AB|DECam|DECam_r          5614.416911761417    All      -5.2763675384139236e-05    -9.96966727908433e-05      -0.00026732363726078703    -2.7217047463007134e-05    
Lambda        AB|DECam|DECam_g          4224.306314249016    All      -0.0006392505794083102     0.000649973040689262       -0.0001946367981275196     0.0004112568008971017      
Lambda        AB|DECam|DECam_z          7992.992356728568    All      1.2687888737408678e-05     2.1805974295516033e-05     0.00013153271481948102     8.83976139686523e-06       
Lambda        AB|DECam|DECam_i          6820.81529364919     All      -0.0005170651400950338     -0.00010513781289202659    -0.0005876632368738666     0.00010795357125449106     
MWEBV         All|All|All               All                  All      -0.5032409362654846        -3.4973581865836323        0.013405844431901848       -0.9746842506941293        
Redshift      All|All|All               All                  All      -0.022595513683197455      1.6533125830850537         -3.4291178824743307        0.39287262113005467        
