#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|DECam|DECam_r          5614.416911761417    All      0.37694318921815206       0.23927669716528044       -0.933587188234914        -0.08650421395474102      
Zeropoint     AB|DECam|DECam_g          4224.306314249016    All      -0.7683320655834485       0.8261422794991091        0.2860706941799487        0.5321387720472999        
Zeropoint     AB|DECam|DECam_z          7992.992356728568    All      0.4203771213687215        -0.0561887208625933       0.15458812265512198       -0.14833461544871765      
Zeropoint     AB|DECam|DECam_i          6820.81529364919     All      0.9678943574101349        -0.010785098666588055     0.49360734164669484       -0.2967606678407576       
Check         All|All|All               All                  All      0.9968826024135603        0.9984451571352082        0.0006789702468514847     0.0005392748030835781     
Lambda        AB|DECam|DECam_r          5614.416911761417    All      -5.244842555180012e-05    -8.294290542868948e-05    -0.0005355183998378809    -3.383078197220816e-05    
Lambda        AB|DECam|DECam_g          4224.306314249016    All      -0.0005845134423776609    0.0005395870969030503     -0.000125717751269248     0.0003605463216146008     
Lambda        AB|DECam|DECam_z          7992.992356728568    All      8.059553219708731e-05     2.807338332286207e-05     0.0003325878840733237     -2.266322070416906e-06    
Lambda        AB|DECam|DECam_i          6820.81529364919     All      -0.0005622523847301907    -5.4770644552518e-05      -0.0008897474341892567    0.00012559815690349984    
MWEBV         All|All|All               All                  All      -0.5194715862990487       -3.481116821130037        0.0448302805689765        -0.9627047186948009       
Redshift      All|All|All               All                  All      1.1679342250387232        1.1964257979297344        -1.7542120967851251       -0.06900178643926747      
