#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_r                3830.0090860751743    All      -0.8163069069658938       0.27585089814667896        -0.3332183326226091        0.3408817242811972        
Zeropoint     AB|PS|PS_g                3015.9163971061093    All      -0.4050168792983951       0.03399043574514593        0.09485025496404076        0.14723185666892985       
Zeropoint     AB|PS|PS_z                5331.309038034389     All      0.9231076952410224        0.18815631397295363        0.4152569354176953         -0.2208668342396888       
Zeropoint     AB|PS|PS_i                4638.970493970171     All      1.2857531098885966        0.5004681343033113         -0.1712073073449145        -0.26343334745652724      
Check         All|All|All               All                   All      0.9875370188653302        0.9984657821680898         0.005681550414212505       0.0038133992539109984     
Lambda        AB|PS|PS_r                3830.0090860751743    All      -0.001139755478338877     0.0002695167748974135      -0.0012638971794663755     0.0004026444103092499     
Lambda        AB|PS|PS_g                3015.9163971061093    All      -0.0012322404832303393    9.626072691603922e-05      0.00017959127330344134     0.00044075088423092834    
Lambda        AB|PS|PS_z                5331.309038034389     All      0.00022060580929385341    3.979478681984281e-05      -0.00021415104485401532    -6.845267609739763e-05    
Lambda        AB|PS|PS_i                4638.970493970171     All      -0.0004455409295637481    -0.00013123915722259078    -0.0011165911137371674     5.255009438409296e-05     
MWEBV         All|All|All               All                   All      -0.4592792505420771       -2.0572246592081456        0.13492493530600902        -0.51448231027008         
Redshift      All|All|All               All                   All      4.125881419815786         0.2952312936773893         0.5321738921132462         -1.224020294110385        
