#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_g                4586.110649379579    All      -1.0270833259857808        0.8838260880742688        -0.1148169644529469        0.6173223094234515        
Zeropoint     AB|PS|PS_z                8106.979748485012    All      0.39075141266369845        -0.11058522672016124      0.39984605807042645        -0.14545854378769096      
Zeropoint     AB|PS|PS_i                7054.184925340864    All      0.9730349205367238         -0.23240945591069817      0.8011713508036346         -0.3569002936115062       
Zeropoint     AB|PS|PS_r                5824.049192386124    All      0.6588138433396653         0.4498168045755868        -1.0859075017880853        -0.11653627573584568      
Check         All|All|All               All                  All      0.9955168505543067         0.9906482100189962        0.00029294263302870327     -0.0015728037115914084    
Lambda        AB|PS|PS_g                4586.110649379579    All      -0.00017397147138630575    -4.817580319729625e-05    -0.0005335614198653305     1.7165392074090953e-05    
Lambda        AB|PS|PS_z                8106.979748485012    All      9.22160023597363e-05       3.113853280798296e-06     0.0004409404461521418      -9.346354383092692e-06    
Lambda        AB|PS|PS_i                7054.184925340864    All      -0.0006179677589528853     8.929524944214525e-05     -0.001338934602419249      0.00017062832829433012    
Lambda        AB|PS|PS_r                5824.049192386124    All      -0.00017664646215477387    -6.452260201268122e-05    -0.00039413078787451793    1.8934183128105435e-05    
MWEBV         All|All|All               All                  All      -0.6350534670270962        -3.8567247299933882       0.08659409677472807        -1.045540023357705        
Redshift      All|All|All               All                  All      6.481400615835346          1.6610893036007823        8.000518772037209          -1.213107570184191        
