#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_g                4586.110649379579    All      -0.704057685592528         0.8478694214684168        0.6716920829305063        0.5354882483460666         
Zeropoint     AB|PS|PS_z                8106.979748485012    All      0.5087523411906743         -0.1996819757832391       0.5336917883285313        -0.2069441504797735        
Zeropoint     AB|PS|PS_i                7054.184925340864    All      1.1975529976235937         -0.3938274773876316       0.6339515112511408        -0.4900746312605274        
Zeropoint     AB|PS|PS_r                5824.049192386124    All      -0.008708480969415289      0.74399090119881          -1.8557298472235604       0.1623662518236474         
Check         All|All|All               All                  All      0.9935391722523247         0.9983508694963561        -0.016394464713382018     0.000835718429413046       
Lambda        AB|PS|PS_g                4586.110649379579    All      -0.00036120486793645026    0.0003648570449264918     8.899316603306323e-05     0.00024047360801611456     
Lambda        AB|PS|PS_z                8106.979748485012    All      0.00016540451045990779     -4.239191866423023e-05    0.0006102687482629556     -4.0452641893196445e-05    
Lambda        AB|PS|PS_i                7054.184925340864    All      -0.0006956793331747261     0.00015650237187181233    -0.0021173217811574947    0.00018309727069314714     
Lambda        AB|PS|PS_r                5824.049192386124    All      -1.1468579583310006e-05    8.203890411570394e-05     -0.0006303533637139914    2.328688231334567e-06      
MWEBV         All|All|All               All                  All      -0.5606981306665251        -3.8968309313481164       0.17312293161469883       -1.0789625273779733        
Redshift      All|All|All               All                  All      6.218607916564707          -0.5231189690077187       9.354695030760826         -1.7785451681948512        
