#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6114.238735422802     All      0.43594078592328667        -0.06555701450592366       -0.016400544049011145      -0.16408621334329798       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B             4343.304811739864     All      -0.09358557277376638       0.05858165504495361        0.02600579601073072        0.05072639148931274        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u              3505.6691311503987    All      -0.14657183059111867       0.051011317005311696       0.007443877299806445       0.06469151752003383        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R             6209.450152196054     All      0.24509509376868296        0.0002524827341865432      0.07702624169634298        -0.07631596609840308       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I             7693.649833046863     All      0.06407783887101658        -0.004339393631980215      0.033824923325687095       -0.020776292510546468      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4276.473426525616     All      -0.1761069060236085        0.052737651479706216       -0.2024463720516234        0.06550794935903659        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844      5240.2477479024255    All      0.16078568155345996        0.3035992005127497         -0.3130099376211337        0.03255086563687115        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r              6065.970439573809     All      0.5405894463533747         -0.04380645000594541       0.12654880517488643        -0.18470967754083412       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5294.1730148809675    All      0.16197643889076324        0.03495954757903874        -0.19116363978346484       -0.04990433549252743       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i              7416.577697912445     All      0.2568607968242196         -0.0741161323571049        0.24478389973996428        -0.0968864934582897        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B              4289.727851509582     All      -0.40229990276880356       0.29550586281299474        -0.03057670868749085       0.22593379690280524        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7444.026684556723     All      0.16183327244303117        -0.03487672263551289       0.041884690597493446       -0.062205795591754875      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g              4686.1258239009       All      -0.32694139345692474       0.4341413546024242         0.08591804612585463        0.2517438177128961         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V             5252.825547636476     All      0.07211311605575281        0.03174192797033015        -0.006401930843091819      -0.013435912902581837      
Check         All|All|All                                All                   All      0.9537668650693658         1.0398352866052285         -0.11656285306504977       0.02283365168272017        
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6114.238735422802     All      -1.742856381985799e-05     -7.159097350344778e-06     4.0023324398410985e-05     5.131160231952937e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B             4343.304811739864     All      -5.126213346099338e-05     4.973133888711825e-06      -2.0150145808962247e-05    1.741846819996006e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_u              3505.6691311503987    All      -0.0002962253555402231     9.385925366662053e-05      2.853876168640024e-05      0.0001283369444813943      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R             6209.450152196054     All      -2.6167843160989533e-05    -4.143350778536436e-06     2.546159134228722e-06      7.287725141316753e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I             7693.649833046863     All      -2.202271857747859e-05     4.440289423522251e-06      -1.9855091452169865e-05    7.733830772655886e-06      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4276.473426525616     All      -0.00016005806862486372    -5.1915139866292784e-06    -0.00026087639988979717    3.880341623887043e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844      5240.2477479024255    All      2.2323362060989157e-05     9.778913439299743e-05      -0.0006470785374671531     -4.294458404231824e-06     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r              6065.970439573809     All      7.401990837896216e-05      -1.8252050957666188e-05    3.1799175590421006e-05     -2.8636961654964388e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5294.1730148809675    All      3.43225266831866e-05       5.3892459259523916e-05     -0.0005101620635158903     -1.6391618933335396e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_i              7416.577697912445     All      -3.340110708963694e-05     1.2940353216690681e-05     -0.00010204102590330898    1.0541315881946022e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B              4289.727851509582     All      -0.0002530882351949327     0.00010606267563595968     -0.0003259926870363549     0.00010243971097945009     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7444.026684556723     All      -2.9527455076297396e-05    4.565243608677822e-06      -7.707257954333757e-05     7.665718334702922e-06      
Lambda        Linear_AB11_off|SWOPE|SWOPE_g              4686.1258239009       All      -1.68228326176891e-05      -6.967942581389122e-05     1.044699513322211e-05      -1.6750929922785243e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V             5252.825547636476     All      7.383621939233317e-05      -3.197322210215533e-06     1.884161226768838e-05      -2.4251544209079936e-05    
MWEBV         All|All|All                                All                   All      -0.9183824631603739        -3.96326607893025          0.0525497033022404         -0.9894737154454297        
Redshift      All|All|All                                All                   All      6.042283193815454          -0.857730901315712         6.521901438244937          -1.956519087326257         
