#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|CNIa02|SDSS_i                      7385.325082984022    All      0.6080753787309738         -0.11160348105212492       0.29576041389208024        -0.2212246524690175        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4317.407165596179    All      -1.0406762648525887        0.758857420923853          0.019799364466030908       0.5870508790580743         
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5401.303507086838    All      0.4018684130725322         0.4600913987958144         -0.18075569119389898       0.010898845612286014       
Zeropoint     AB|CNIa02|SDSS_r                      6090.111867906608    All      1.0283157905748301         -0.10902675397126416       -0.13287232085914005       -0.3763993656364158        
Check         All|All|All                           All                  All      0.9975833175257474         0.9983185846962783         0.0019317663050721356      0.00032570656492697525     
Lambda        AB|CNIa02|SDSS_i                      7385.325082984022    All      -8.328126653981739e-05     -4.7656844782975973e-05    -0.00048131789624109744    -9.874960921234185e-06     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4317.407165596179    All      -0.00043592185396273866    0.0001576992562800468      -0.0007424486229364534     0.0001602298530620493      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5401.303507086838    All      1.915529571212249e-05      -1.957380994891683e-05     -0.000900549124207477      -5.280271520438557e-05     
Lambda        AB|CNIa02|SDSS_r                      6090.111867906608    All      -4.7332052420844704e-05    -3.542560219903044e-05     -0.00032246758167627047    -1.0511924582356614e-05    
MWEBV         All|All|All                           All                  All      -0.8614859855468047        -4.034775402218482         0.04355448940427471        -1.0317011243072611        
Redshift      All|All|All                           All                  All      4.7376159692382975         -0.2924703199974843        3.5234835208254336         -1.4812277025676541        
